"","source node","dest node","edge weight"
"1","2022","1017","3.51879664192439e-09"
"2","2022","17","4.23042687073634e-09"
"3","2011","13","5.7349066951819e-09"
"4","2028","17","3.58148007921182e-09"
"5","2033","1012","9.04627806954246e-09"
"6","2024","17","4.89701265133514e-09"
"7","2033","1014","1.04036145748757e-08"
"8","2017","17","1.14985197794646e-08"
"9","1009","52","9.65532689128052e-09"
"10","2009","1012","4.97320235450772e-09"
"11","2009","1014","5.39801260664439e-09"
"12","2025","1011","3.95542336750407e-09"
"13","2033","1011","6.22483056603055e-09"
"14","2013","1024","4.36121209964009e-09"
"15","2028","2006","4.72040149760277e-09"
"16","2007","1017","7.74997972302818e-09"
"17","1012","54","1.20568874708239e-08"
"18","1014","54","1.40100176529725e-08"
"19","2022","2016","6.11913813469157e-09"
"20","2009","2005","6.86224770960729e-09"
"21","2007","17","8.77350427859655e-09"
"22","2015","1005","6.9141785236241e-09"
"23","2009","1025","4.8924640723949e-09"
"24","2009","1005","7.24296025901304e-09"
"25","2013","1017","8.65222992700182e-09"
"26","2024","1016","7.07915884855357e-09"
"27","2007","1028","4.09160560622667e-09"
"28","1035","51","1.26131656814625e-08"
"29","1029","54","6.74137332187581e-09"
"30","1029","1016","6.34950852678051e-09"
"31","2011","18","8.47460470729036e-09"
"32","1024","1007","5.55759248532865e-09"
"33","1011","54","8.75431374987464e-09"
"34","2009","58","1.11777480423138e-08"
"35","1012","1007","8.47074784816327e-09"
"36","2021","12","1.80014258043372e-08"
"37","2015","1025","6.07086708903441e-09"
"38","1035","53","1.43548521047173e-08"
"39","2024","12","8.63233416142444e-09"
"40","2012","1011","7.15702627788597e-09"
"41","2013","12","1.28116399891869e-08"
"42","2024","13","1.01331572172351e-08"
"43","1009","49","1.39611947892772e-08"
"44","53","18","3.28914559013465e-08"
"45","1016","51","2.93025668590716e-08"
"46","2011","58","1.25948574198782e-08"
"47","1018","1008","1.02814023606024e-08"
"48","2013","18","1.82926964073818e-08"
"49","2022","1029","5.8802154180167e-09"
"50","2025","17","1.2773334443163e-08"
"51","2030","2021","1.29241303926522e-08"
"52","1009","51","1.71922213093916e-08"
"53","2013","1009","1.15000491447413e-08"
"54","2028","1018","8.00407215685951e-09"
"55","2015","1029","7.25605508010308e-09"
"56","2007","1006","1.8846861641704e-08"
"57","2033","1005","3.090504547695e-08"
"58","2011","1024","7.59740674032141e-09"
"59","1034","1005","3.77085306998952e-08"
"60","2015","12","1.5081744401239e-08"
"61","2019","1012","2.17995969672177e-08"
"62","2022","1013","9.90671954438815e-09"
"63","2012","1027","1.00430936367892e-08"
"64","1024","1015","9.79843492113647e-09"
"65","2022","53","1.29361873629425e-08"
"66","1020","52","4.11480418758391e-08"
"67","2012","12","2.24782658839555e-08"
"68","2026","1023","4.63095489795839e-08"
"69","51","18","6.23592845464476e-08"
"70","2021","1035","2.64868830725047e-08"
"71","2010","12","4.49103860303603e-08"
"72","2016","1007","2.86414965646412e-08"
"73","2024","53","1.79490255750729e-08"
"74","1025","1003","1.71755230247333e-08"
"75","2011","1017","1.81470348527641e-08"
"76","1025","54","2.43172224868476e-08"
"77","2032","2019","7.47145063650922e-08"
"78","2013","1029","1.37803956466779e-08"
"79","2007","1005","2.6348617812845e-08"
"80","1026","1025","2.37440055496344e-08"
