"","source node","dest node","edge weight"
"1","2009","1025","2.97870680747138e-09"
"2","2007","1028","2.21157162147233e-09"
"3","1033","58","2.185668083303e-08"
"4","2015","1007","3.65766179141424e-09"
"5","2029","2006","4.5174866293394e-09"
"6","2013","1028","2.76002592354349e-09"
"7","2021","1009","5.92345605459984e-09"
"8","2010","1003","8.62065061953189e-09"
"9","1008","1003","4.33005116927509e-09"
"10","1018","17","1.01048348130085e-08"
"11","2010","1024","5.32454104840047e-09"
"12","2029","18","5.8049675605226e-09"
"13","2011","18","6.59077221474374e-09"
"14","1021","54","1.92032103419795e-08"
"15","2016","1029","5.52476055726111e-09"
"16","2021","1029","5.44254583526774e-09"
"17","2015","50","7.6821962643921e-09"
"18","2022","10","6.99551361680369e-09"
"19","1028","1013","3.75928345130107e-09"
"20","1029","51","6.06720637158441e-09"
"21","2016","2014","1.44613315400135e-08"
"22","1033","1018","1.32875731109823e-08"
"23","2014","1029","5.70875082942249e-09"
"24","1006","13","3.28889986019373e-08"
"25","2011","1016","7.53935796526779e-09"
"26","2035","1011","5.71659499316827e-09"
"27","1012","1011","5.65236445338723e-09"
"28","1014","1013","7.94415747960389e-09"
"29","1022","1016","8.79078877918918e-09"
"30","2010","1006","2.28817225487855e-08"
"31","1020","1010","1.71591234714258e-08"
"32","2025","58","1.05857286590389e-08"
"33","2029","1003","6.20640101571946e-09"
"34","2014","2008","6.47239082250623e-09"
"35","2006","12","2.4500931841899e-08"
"36","2025","1014","7.62509341745181e-09"
"37","2020","1028","5.60996327347002e-09"
"38","2022","2006","1.00705160348775e-08"
"39","2015","1033","1.150148079812e-08"
"40","2025","1024","5.90549856194597e-09"
"41","2025","1006","1.14485916708714e-08"
"42","2015","1011","7.10843988302811e-09"
"43","2007","18","1.42390630359684e-08"
"44","2024","1018","8.35703767568811e-09"
"45","2007","1029","6.71926395082913e-09"
"46","2028","2013","5.84870078837396e-09"
"47","2010","2006","3.18302274113879e-08"
"48","1025","1003","9.55381375194665e-09"
"49","1016","13","4.80735569123993e-08"
"50","2015","10","1.36611879419295e-08"
"51","2006","17","3.6252411335458e-08"
"52","1021","51","2.70591174707128e-08"
"53","2030","2018","1.19852653258041e-08"
"54","2017","58","4.5732598916747e-08"
"55","2022","1008","8.51662947637486e-09"
"56","1028","1009","7.31803371707434e-09"
"57","53","50","3.31388982569142e-08"
"58","1010","12","3.54177405719526e-08"
"59","2017","10","3.2674492714253e-08"
"60","1006","12","4.14516748325741e-08"
"61","2021","1007","1.78129552583421e-08"
"62","2005","1007","1.80503377353408e-08"
"63","2005","1033","3.83207678731545e-08"
"64","2015","17","1.93669858641261e-08"
"65","2022","1013","1.26854901376341e-08"
"66","2007","58","2.37588220354652e-08"
"67","1029","1028","7.86848587329168e-09"
"68","1007","58","2.69432309459898e-08"
"69","1011","54","2.05652340200288e-08"
"70","1033","26","1.01218427667884e-07"
"71","2033","1007","2.67306289984126e-08"
"72","18","11","7.93043352380972e-08"
"73","2029","2001","1.96095586430466e-08"
"74","2006","58","1.20511468258623e-07"
"75","1003","49","3.68006835680741e-08"
"76","1033","53","6.39023799405368e-08"
"77","2021","1025","2.36453649969022e-08"
"78","2014","1035","3.21644837077882e-08"
"79","2025","12","2.58336275037535e-08"
"80","1018","1001","4.20978015207662e-08"
"81","2030","1025","1.68878966604039e-08"
"82","1011","58","2.92213059738589e-08"
"83","2007","50","3.10563724010681e-08"
"84","1033","1031","3.44974469105809e-08"
"85","2035","12","3.82479694109133e-08"
"86","1030","1010","2.93008567421017e-08"
"87","2022","1022","1.85132935238185e-08"
"88","1008","51","2.73052062666131e-08"
"89","1013","51","3.91312082474802e-08"
"90","2033","2029","2.77764929643931e-08"
"91","1025","1024","1.93542740242055e-08"
"92","2025","2014","2.99401896442557e-08"
"93","2022","2013","2.61811026821529e-08"
"94","58","18","2.80266691681167e-07"
"95","1028","1007","1.81675966317246e-08"
"96","2015","2014","3.49420413163375e-08"
"97","1021","1006","9.1303819459321e-08"
"98","2024","2011","2.07411407379701e-08"
"99","2008","54","3.45825974153172e-08"
"100","2008","1013","2.36198554316289e-08"
"101","50","13","1.2155922037112e-07"
"102","1025","52","4.41486695688227e-08"
"103","1007","11","4.4748476186309e-08"
"104","1035","1007","3.72659454826172e-08"
"105","1021","1009","4.54593272090193e-08"
"106","2029","1022","2.3397145724203e-08"
"107","2033","58","1.96603322850935e-07"
"108","2006","1013","5.78534299648581e-08"
"109","1003","11","7.02993858736329e-08"
"110","2014","1032","1.06798862970239e-07"
"111","2028","2022","2.15234730506341e-08"
"112","1007","53","5.56560509223174e-08"
"113","1010","13","1.68981624122065e-07"
"114","2035","2028","2.5104500039618e-08"
"115","2012","12","6.89788453262077e-08"
"116","2009","17","5.39505646057495e-08"
"117","2008","10","4.16965236616837e-08"
"118","2009","1033","5.81106235431691e-08"
"119","1011","52","5.92567519153743e-08"
"120","2005","1010","1.14691428692225e-07"
"121","1013","52","8.47832832406925e-08"
"122","2007","17","6.57169523660658e-08"
"123","2008","1029","2.96719836388682e-08"
"124","1018","49","1.02678607670842e-07"
"125","1022","49","6.38043321117859e-08"
"126","2016","2008","5.57969278954781e-08"
"127","2012","2001","9.91125524225063e-08"
"128","2029","17","5.58449945477188e-08"
"129","2007","1033","7.73298766878454e-08"
"130","2028","13","4.50127869144901e-08"
"131","2007","1024","4.17791005452928e-08"
"132","2012","49","9.63758244586144e-08"
"133","52","17","2.57822570563662e-07"
"134","1002","58","3.52771546531829e-07"
"135","58","12","2.6330758838094e-07"
"136","2024","2007","4.51251086069417e-08"
"137","2030","2014","6.99386947638956e-08"
"138","1035","1013","7.90720618256837e-08"
"139","1033","1014","1.37771670078663e-07"
"140","2016","12","2.16006600442721e-07"
"141","1033","54","3.46247097529759e-07"
"142","1035","1001","1.30545300799114e-07"
"143","2021","1033","2.00487299750891e-07"
"144","1011","53","8.14583013903524e-08"
