"","source node","dest node","edge weight"
"1","1013","54","7.76431497544341e-09"
"2","2033","1033","1.74519224809015e-08"
"3","2009","1009","3.96807038931029e-09"
"4","2011","1007","3.74320130618564e-09"
"5","1029","1012","4.17852336865877e-09"
"6","1029","1018","4.54822139886506e-09"
"7","2008","12","5.38734532365133e-09"
"8","54","13","4.06173086260502e-08"
"9","2030","1005","6.39137267933541e-09"
"10","2012","1029","4.69401260750854e-09"
"11","2010","1013","8.71813113124033e-09"
"12","2024","1007","4.1887728371043e-09"
"13","1015","53","8.21953918405176e-09"
"14","2008","1025","4.40821501803453e-09"
"15","1011","1010","6.96310652034299e-09"
"16","2024","2015","4.16600598286045e-09"
"17","1015","49","9.10094305299136e-09"
"18","2021","1014","1.153866815774e-08"
"19","2024","2009","4.53728173292327e-09"
"20","1016","52","3.06454767382742e-08"
"21","2010","2009","8.7027365107433e-09"
"22","1024","1013","5.7117756385544e-09"
"23","2014","1005","1.26294466041159e-08"
"24","2014","1008","7.77340052950035e-09"
"25","1012","1007","8.77206352158218e-09"
"26","2011","17","9.47773103430806e-09"
"27","2007","17","1.22773057338451e-08"
"28","2009","1033","1.12898620331818e-08"
"29","2030","2005","9.4449870787122e-09"
"30","2010","26","4.08870132158472e-08"
"31","2009","1028","4.90863880393407e-09"
"32","2033","2021","2.63763743353179e-08"
"33","1033","1031","1.30084720794182e-08"
"34","2032","1014","2.39431748649871e-08"
"35","2016","2008","1.2207090051434e-08"
"36","2035","2025","1.10540081430516e-08"
"37","1015","1003","1.19964897036194e-08"
"38","2020","1028","7.79295816289409e-09"
"39","1005","49","2.84688503329274e-08"
"40","1021","18","4.62411718072921e-08"
"41","2035","2010","2.33805510868955e-08"
"42","2033","1025","1.62609485065227e-08"
"43","1033","1018","2.96741569486064e-08"
"44","1035","1005","2.36951485377681e-08"
"45","2015","2006","1.81826782224981e-08"
"46","2022","2009","1.08858906760214e-08"
"47","1030","1025","1.09795367521816e-08"
"48","2011","1009","1.17658172158291e-08"
"49","1020","1008","1.57588643052098e-08"
"50","1035","1025","1.47829166487363e-08"
"51","2009","1010","1.76603762586317e-08"
"52","2026","2010","4.05502308076072e-08"
"53","2007","1006","2.35185207692891e-08"
"54","2011","50","1.70158219217726e-08"
"55","1035","1001","3.12906975162179e-08"
"56","2012","1011","1.3811244512877e-08"
"57","2033","17","5.34279534864515e-08"
"58","2014","2013","1.82219171904652e-08"
"59","2008","17","1.64370412486537e-08"
"60","1005","26","5.90660255548461e-08"
"61","2013","13","2.89005627381101e-08"
"62","1027","50","1.56408216489406e-08"
"63","1029","1003","1.43939129813553e-08"
"64","1003","10","3.10536666561974e-08"
"65","2007","1008","1.48787314922957e-08"
"66","2028","2013","1.18353455114924e-08"
"67","2018","49","4.23346330420617e-08"
"68","2016","2011","2.13300315306343e-08"
"69","2035","53","3.57362058632682e-08"
"70","1012","1001","3.39628249952758e-08"
"71","2028","2007","1.3168168343807e-08"
"72","2029","18","2.1497490775837e-08"
"73","1024","17","2.11304272814047e-08"
"74","2033","12","6.45375217502012e-08"
"75","2030","17","2.54619113552342e-08"
"76","2022","1027","1.35828970142901e-08"
"77","2009","1008","1.71751873178121e-08"
"78","51","26","9.5465491678013e-08"
"79","2030","10","2.74072287442977e-08"
"80","1035","1027","1.86158706383149e-08"
"81","2028","54","2.16767895090585e-08"
"82","2012","1005","3.52576168665787e-08"
"83","2031","2012","2.18451953181926e-08"
"84","2033","1007","3.63522780222223e-08"
"85","2030","13","3.25444588054227e-08"
"86","2008","10","2.53146962070291e-08"
"87","2030","1010","2.99197952938533e-08"
"88","2035","2016","5.28392050179966e-08"
"89","2021","17","6.63942131053877e-08"
"90","1025","1007","2.26734020588954e-08"
"91","2014","1010","4.80146752445374e-08"
"92","2009","13","4.02673949998579e-08"
"93","1012","58","6.29710245603532e-08"
"94","1006","51","9.30265525342712e-08"
"95","2011","12","3.31743335278279e-08"
"96","2014","17","5.76326767253959e-08"
"97","2035","2003","4.14228521162042e-08"
"98","1014","53","5.83887401427931e-08"
"99","2009","1007","2.94657615678924e-08"
"100","2016","1013","5.33399442536969e-08"
"101","2026","2012","5.65011031473499e-08"
"102","2029","12","3.11049315365294e-08"
"103","2022","1024","2.32274574621897e-08"
"104","2005","49","7.93161826178026e-08"
"105","2011","54","4.66763292872711e-08"
"106","2011","10","4.10914192244648e-08"
"107","1024","49","3.71999847649153e-08"
"108","2009","12","4.47378247866964e-08"
"109","2011","52","4.92537713081054e-08"
"110","1014","1005","6.86445022784969e-08"
"111","2007","1025","3.69202505619109e-08"
"112","2011","1033","5.11003202394815e-08"
"113","2023","1029","4.48236674098855e-08"
"114","1006","54","3.0109452993926e-07"
"115","2010","18","2.14298305045481e-07"
"116","2007","2005","6.60467405572124e-08"
"117","2007","1029","3.98716953399597e-08"
"118","2012","2008","4.62512555375291e-08"
"119","2033","2010","1.88463746864079e-07"
"120","1028","1012","3.55539048440454e-08"
"121","1021","51","1.40345409096714e-07"
"122","2017","10","1.40806460886272e-07"
"123","2028","58","5.76847865745247e-08"
"124","2026","13","2.37544071862031e-07"
"125","1027","1006","6.16189222648669e-08"
"126","1002","10","2.25749874224714e-07"
"127","2028","1002","5.72761276636076e-08"
"128","2021","50","1.58942562598135e-07"
"129","2011","58","8.82144973478097e-08"
"130","1029","1020","6.34901257452281e-08"
"131","1016","13","2.89668053243615e-07"
"132","2029","2012","5.30511322352501e-08"
"133","2014","1025","6.9931384921973e-08"
"134","1012","1008","6.51231815216791e-08"
"135","1028","1022","3.70775280812866e-08"
"136","2030","1009","6.40025439603544e-08"
"137","1016","49","2.3399535076716e-07"
"138","1008","18","1.04449644224493e-07"
"139","2014","1002","1.77603972761931e-07"
"140","2022","2008","5.85261106344245e-08"
"141","2012","11","1.42612515187363e-07"
"142","1029","1014","7.81332116987151e-08"
"143","2020","1027","7.80546819547256e-08"
"144","1006","1003","1.8820704324433e-07"
"145","1001","12","2.60638334345264e-07"
"146","1012","1011","8.48142605908788e-08"
"147","1012","1009","1.0397619594964e-07"
"148","52","26","9.39364394077051e-07"
"149","2009","1029","7.2994537213081e-08"
"150","54","18","8.34633372331835e-07"
"151","1006","50","3.56748607898892e-07"
"152","2020","52","3.19799763880651e-07"
"153","2009","1006","1.58341219517898e-07"
"154","1035","1009","1.35431485195517e-07"
"155","1005","18","3.8594455637626e-07"
"156","1028","1007","6.91323224856623e-08"
"157","1020","10","2.87354391275427e-07"
"158","2025","18","1.64662989939063e-07"
"159","1030","26","1.73732783601336e-07"
"160","2008","1009","9.61360476509805e-08"
"161","2014","1029","1.08524023752119e-07"
"162","2010","12","3.22718351929978e-07"
"163","1011","1006","1.55697836454758e-07"
"164","2028","26","1.26608494919926e-07"
"165","1013","51","1.94608118013408e-07"
"166","2020","49","2.98751558170774e-07"
"167","1014","1009","1.55111371716904e-07"
"168","53","18","5.63132318801263e-07"
"169","1002","58","1.02900427416621e-06"
"170","2010","1009","2.07815699699947e-07"
"171","1010","52","5.14935959796888e-07"
"172","2016","52","6.82124787272236e-07"
"173","1033","1025","1.8897284483113e-07"
"174","2017","2002","3.76575123808091e-07"
"175","1012","17","2.56715923683946e-07"
"176","2033","1029","1.66022809832968e-07"
"177","1008","26","2.14359384694745e-07"
"178","1022","1009","1.17445604774326e-07"
"179","1031","1020","1.90112557177063e-07"
"180","2026","54","6.39959481525336e-07"
"181","2026","2011","1.82429513742296e-07"
"182","2025","2011","1.20855717787794e-07"
"183","2002","1014","3.23839320998498e-07"
"184","2007","10","2.40052950685055e-07"
"185","2025","1028","9.14468229566243e-08"
"186","2030","1033","2.14319244259876e-07"
"187","2029","2028","9.19956485128417e-08"
"188","1006","53","6.0270412366792e-07"
"189","1012","10","2.97552359013058e-07"
"190","2010","52","6.97368203706093e-07"
"191","2010","17","4.95340100709527e-07"
"192","1010","1009","2.44390484064314e-07"
"193","2013","12","2.52343158653366e-07"
"194","1021","1015","2.56707028725276e-07"
"195","2030","1007","1.65235856031814e-07"
"196","2022","1028","1.08033255112929e-07"
"197","2029","1009","1.42896011086414e-07"
"198","54","50","7.811895830399e-07"
"199","2011","11","2.21768516806741e-07"
"200","1011","26","2.93351478400525e-07"
"201","2021","2006","7.0960143685295e-07"
"202","2030","2010","2.62877745022009e-07"
"203","2013","1016","3.35441002951968e-07"
"204","2023","11","5.08253948973655e-07"
"205","50","12","5.6044864146927e-07"
"206","2029","17","2.14624876992018e-07"
"207","1021","11","6.16997922485666e-07"
"208","2010","1033","7.88350101906207e-07"
"209","2035","2027","2.04456107521735e-07"
"210","2009","1025","2.09667359649295e-07"
"211","1009","11","3.72308666141815e-07"
"212","1027","1022","1.6267431910533e-07"
"213","2024","1013","2.09127786836104e-07"
"214","54","11","1.03798136571685e-06"
"215","1030","13","3.95342412283845e-07"
"216","2028","12","2.49565486841487e-07"
"217","26","17","1.45520926409773e-06"
"218","2013","1009","2.98175405454938e-07"
"219","2027","52","3.12887390114134e-07"
"220","2030","1025","2.38589165973823e-07"
"221","1018","17","6.35006994788418e-07"
"222","2030","12","3.64850471954888e-07"
"223","2006","1016","1.3201245481992e-06"
"224","2026","1032","1.33893550203667e-06"
"225","1029","1006","3.63336770982218e-07"
"226","1013","1008","2.82094236607538e-07"
"227","2010","1016","1.02544067420085e-06"
"228","2009","1013","3.28844048247342e-07"
"229","2029","1017","3.1753835428566e-07"
"230","2025","12","4.20034181523017e-07"
"231","1028","50","2.68646691538665e-07"
"232","1028","1015","2.13894272230034e-07"
"233","1029","1009","2.92167165785575e-07"
"234","2028","1003","2.77978553513957e-07"
"235","2023","1002","1.19031727102271e-06"
"236","2021","58","1.51968724972657e-06"
"237","1006","11","1.26500085385403e-06"
"238","2006","49","1.57719344629859e-06"
"239","2024","2013","3.04371146209469e-07"
"240","1009","1001","6.18489728040199e-07"
"241","1024","1015","3.10864770509534e-07"
"242","1032","1019","1.97495466121852e-06"
"243","2023","1022","4.10709523709647e-07"
"244","2006","2005","1.20935413579439e-06"
"245","1009","1005","5.66697032302812e-07"
"246","2010","1007","6.11061148978356e-07"
"247","2028","1020","3.50675612981154e-07"
"248","2028","1019","3.89269034183256e-07"
"249","2020","2014","7.2968872888651e-07"
"250","51","18","1.72974261727051e-06"
"251","1033","1010","1.3023034104535e-06"
"252","1009","17","6.65653976145809e-07"
"253","2002","26","2.49291138587531e-06"
"254","1011","11","5.11007626543265e-07"
"255","2019","2014","9.38254625865956e-07"
"256","1010","1006","1.53924218730842e-06"
"257","1028","52","4.06022011619165e-07"
"258","2012","2006","1.0104621994412e-06"
"259","2024","2007","3.69474427049212e-07"
"260","2014","54","1.2401379104739e-06"
"261","2029","2015","3.29978494488242e-07"
"262","2008","1033","5.65508812082178e-07"
"263","1013","52","9.31984742398827e-07"
"264","1023","11","1.24412631272064e-06"
"265","2029","1033","5.10962251487817e-07"
"266","2012","26","1.17802101443638e-06"
"267","2021","11","1.24238149208905e-06"
