"","source node","dest node","edge weight"
"1","2027","1007","2.06043822570888e-09"
"2","2013","1014","3.66578998280953e-09"
"3","2007","18","4.98920565971782e-09"
"4","1029","50","3.1431886825159e-09"
"5","2013","18","6.79515576028148e-09"
"6","1028","1006","3.0456078428079e-09"
"7","2003","1009","4.06474672145816e-09"
"8","1010","54","1.52968061758365e-08"
"9","1022","49","4.4180535951513e-09"
"10","2034","1009","5.87804533784796e-09"
"11","2024","1005","3.96206645538047e-09"
"12","1009","54","6.04530045898944e-09"
"13","2035","1012","5.23166710470032e-09"
"14","2021","1030","4.6952843205382e-09"
"15","2033","10","1.48240189177644e-08"
"16","1022","1011","2.97617714449317e-09"
"17","2022","1007","3.61287632069984e-09"
"18","2009","10","5.28730307982572e-09"
"19","2027","1024","2.75002061656081e-09"
"20","2007","1024","3.40790554853456e-09"
"21","2012","10","7.22591647201854e-09"
"22","2018","53","1.10314035127612e-08"
"23","2020","1007","6.19361495376679e-09"
"24","1031","1025","3.83719297026248e-09"
"25","1019","1009","6.78048240024557e-09"
"26","2024","1015","3.67687784726632e-09"
"27","2017","2007","5.91325315117192e-09"
"28","2030","11","6.03782584683809e-09"
"29","1015","1014","5.24838555764961e-09"
"30","1016","1012","8.97723251599305e-09"
"31","54","11","1.95229225257223e-08"
"32","1030","58","7.06646569122978e-09"
"33","2026","1007","7.37470550253527e-09"
"34","1026","1009","6.5391825307689e-09"
"35","1022","1013","4.46810821318985e-09"
"36","1006","49","1.77823402084753e-08"
"37","1022","51","5.9047762258697e-09"
"38","1035","49","1.06393884568177e-08"
"39","1019","1007","8.62476847224369e-09"
"40","1021","52","2.16492608828504e-08"
"41","1024","1013","4.9730150812803e-09"
"42","2011","17","6.77036207069293e-09"
"43","2005","2002","1.3574949881589e-08"
"44","1024","51","6.74498286104814e-09"
"45","1002","13","3.12902101128981e-08"
"46","1034","1018","1.58048135833063e-08"
"47","2013","1030","5.89170462768127e-09"
"48","2011","1014","6.27875391326608e-09"
"49","1029","54","7.24596055575564e-09"
"50","2012","1015","6.56324815496623e-09"
"51","2013","2008","5.09299463011926e-09"
"52","2020","1003","1.20025563545897e-08"
"53","2002","50","2.10601198844114e-08"
"54","2027","1015","4.93399096596657e-09"
"55","1025","53","9.89582326678135e-09"
"56","2007","17","9.85019711584345e-09"
"57","2030","1012","7.1708053044177e-09"
"58","2035","1028","5.41331460025742e-09"
"59","1029","1028","3.99205100051639e-09"
"60","2028","58","7.49699472343994e-09"
"61","2022","2005","8.07649306235269e-09"
"62","50","17","2.24834197016112e-08"
"63","2007","1011","5.79799815156236e-09"
"64","2025","2024","6.07863992822082e-09"
"65","1028","17","6.5806905114083e-09"
"66","2007","1025","7.03688960300995e-09"
"67","2014","12","1.55137602205106e-08"
"68","2012","1021","1.29854531595462e-08"
"69","2012","18","1.63632304619482e-08"
"70","2005","10","1.91112342889884e-08"
"71","1034","1025","1.32196087265605e-08"
"72","2001","53","2.5493113914016e-08"
"73","2014","1032","2.23691673158809e-08"
"74","2022","1016","1.095164843826e-08"
"75","2007","1022","7.06344875714376e-09"
"76","1017","1002","2.83904826298445e-08"
"77","2010","11","2.69058014062682e-08"
"78","1006","53","3.0918007040867e-08"
"79","1015","1012","9.7502536754133e-09"
"80","1035","54","2.49169712219732e-08"
"81","2009","1014","9.8764528402791e-09"
"82","2022","2007","7.91756472576891e-09"
"83","2035","1021","1.88719468652202e-08"
"84","2034","1030","1.39723742221891e-08"
"85","1030","1026","1.24825599821426e-08"
"86","2033","2025","1.52805060400617e-08"
"87","1022","1016","1.33623573973293e-08"
"88","2022","1013","9.59496740864266e-09"
"89","2012","1035","1.42755906486373e-08"
"90","1021","54","4.35268043821035e-08"
"91","1024","1012","1.00440059385774e-08"
"92","1031","1009","9.47954469888297e-09"
"93","1006","50","3.92420678018997e-08"
"94","2024","2005","1.20390398640534e-08"
"95","2029","1024","7.64158038136613e-09"
"96","1010","11","3.3020429858317e-08"
"97","2035","2002","2.37247720143965e-08"
"98","2035","1035","1.86021647154995e-08"
"99","2030","1013","1.17697704647188e-08"
"100","2029","1016","1.29301384784067e-08"
"101","1009","52","1.96948322834116e-08"
"102","2012","13","2.53666475500073e-08"
"103","26","17","6.40649226081026e-08"
"104","1007","52","2.2540029395955e-08"
"105","1019","49","4.64619590944046e-08"
"106","2030","54","1.88270881005743e-08"
"107","2012","17","2.17494281191777e-08"
"108","2007","12","1.71804595415472e-08"
"109","2021","12","3.31667047419719e-08"
"110","2005","1014","2.1675416610886e-08"
"111","2014","1021","2.61510872236929e-08"
"112","2032","52","1.14349724074291e-07"
"113","1021","26","6.60240198509615e-08"
"114","1007","58","2.71845907878968e-08"
"115","2025","17","2.04073561904473e-08"
"116","2034","2012","2.97065508986924e-08"
"117","2022","1005","1.62223062202938e-08"
"118","2012","2008","1.15712877659034e-08"
"119","1029","53","1.48438610052694e-08"
"120","1023","50","3.92366744638875e-08"
"121","2034","1012","3.12704421076402e-08"
"122","1024","1023","1.70849419818717e-08"
"123","1013","18","3.04396540468827e-08"
"124","2018","12","3.90166049984521e-08"
"125","2011","2006","2.0876037080112e-08"
"126","2011","2010","1.94005322777254e-08"
"127","2013","58","3.97756634374955e-08"
"128","1024","1011","1.29276000031413e-08"
"129","1032","49","9.05723330567412e-08"
"130","2021","2016","5.78855451892805e-08"
"131","2011","11","2.27336642841837e-08"
"132","1021","49","5.73536680722281e-08"
"133","1035","1026","4.02896117153238e-08"
"134","1015","11","2.74633127499843e-08"
"135","1028","1015","1.31810228634486e-08"
"136","2012","2010","3.61374284634931e-08"
"137","2016","2009","2.88287764695375e-08"
"138","2011","13","3.03007569139197e-08"
"139","2028","2001","2.01870680135951e-08"
"140","51","26","1.077365217839e-07"
"141","2023","1022","2.70742830074926e-08"
"142","2002","1027","2.40715417996409e-08"
"143","2015","58","3.35894278254604e-08"
"144","1011","18","3.0544294830204e-08"
"145","1019","1013","4.53874666435636e-08"
"146","1019","1002","1.1155144603925e-07"
"147","1024","1019","3.23651739849327e-08"
"148","2028","1022","1.61430836208793e-08"
"149","2013","1006","4.91475445870819e-08"
"150","2001","1028","2.24313289398772e-08"
"151","2028","1007","1.83413026806217e-08"
"152","2005","11","6.06556303185676e-08"
"153","2014","18","6.96844574638361e-08"
"154","2008","53","2.61388844204333e-08"
"155","2024","2007","2.20315237754755e-08"
"156","1031","1003","2.855426597256e-08"
"157","1008","1006","3.69663858239759e-08"
"158","1025","1020","4.01895902912202e-08"
"159","2007","13","4.66287369235806e-08"
"160","2024","2014","2.98587468592539e-08"
"161","2009","26","4.64584861365175e-08"
"162","1019","1010","1.08366731556e-07"
"163","2024","2013","2.7806417005721e-08"
"164","2013","17","5.70128956594396e-08"
"165","1001","12","9.48172013702235e-08"
"166","2022","10","4.05826692792361e-08"
"167","2020","2016","1.05425325296744e-07"
"168","2012","1025","3.61506688457878e-08"
"169","2030","1015","2.99311420274462e-08"
"170","2029","1028","1.8956665137545e-08"
"171","2033","13","1.99672409495937e-07"
"172","2018","1002","1.10524459804e-07"
"173","2008","54","3.95853345208175e-08"
"174","2012","2002","6.41112379745573e-08"
"175","2018","49","1.01390694086254e-07"
"176","2033","1014","8.37050729362444e-08"
"177","2015","1030","2.97811817871746e-08"
"178","2027","2022","2.55065519782116e-08"
"179","2027","2017","3.67823209294481e-08"
"180","2009","2001","5.11869803218603e-08"
"181","1034","1001","1.51885016256342e-07"
"182","53","11","1.1117473858557e-07"
"183","2016","2001","1.55695691217829e-07"
"184","1030","26","6.05378228728505e-08"
"185","2006","52","2.60493782008704e-07"
"186","2018","2016","1.29575663241147e-07"
"187","2010","2006","1.68043528786318e-07"
"188","2029","18","4.80002685548622e-08"
"189","2012","53","7.09081047657808e-08"
"190","1030","54","6.17402487859642e-08"
"191","2006","1013","8.19263391426783e-08"
"192","1018","52","1.21763599057263e-07"
"193","49","26","2.30285315461194e-07"
"194","1002","12","1.5202192107432e-07"
"195","2013","1024","4.14072968384084e-08"
"196","2025","1035","5.32669485886342e-08"
"197","2014","17","9.59027258997418e-08"
"198","2013","1028","3.34208088436638e-08"
"199","1026","1007","7.36073604804669e-08"
"200","1008","18","6.95563615040407e-08"
"201","1002","58","3.211871988718e-07"
"202","2015","1021","5.90473238467427e-08"
"203","2025","1026","6.94118035325105e-08"
"204","1016","49","1.80007285093831e-07"
"205","2010","1009","6.99234201158396e-08"
"206","1011","52","6.39563712911327e-08"
"207","2015","1010","6.10404472241929e-08"
"208","2018","1003","9.18979502833226e-08"
"209","2030","2006","7.36917337134428e-08"
"210","1029","52","5.88071282415054e-08"
"211","2010","1007","8.09311599879478e-08"
"212","2022","2013","5.03114861167093e-08"
"213","1021","58","2.47979255172571e-07"
"214","1028","1021","4.80154224273273e-08"
"215","2028","1026","5.2298026221541e-08"
"216","2010","2007","8.18750179300925e-08"
"217","2024","1018","6.16967244949393e-08"
"218","1033","50","2.2384673235968e-07"
"219","1013","53","9.95686454524394e-08"
"220","2018","11","1.59118677588999e-07"
"221","52","11","2.56190112092424e-07"
"222","2003","1003","9.65462837805172e-08"
"223","2024","1009","5.19236700049372e-08"
"224","2018","2009","7.8989385273316e-08"
"225","2025","1033","1.02459887336057e-07"
"226","1015","1010","9.1999653636405e-08"
"227","1013","13","1.36678406561373e-07"
"228","2026","1021","2.05433541370372e-07"
"229","1020","1010","1.94068422905032e-07"
"230","2032","1019","4.15407073949859e-07"
"231","1005","49","1.6817595281036e-07"
"232","1012","1007","7.99754387486779e-08"
"233","2029","13","8.00702567221512e-08"
"234","1027","1025","5.47718207902017e-08"
"235","2025","2009","6.32444577924506e-08"
"236","2033","26","5.25196299750699e-07"
"237","1003","50","1.47825997035252e-07"
"238","1022","1018","8.16253288134843e-08"
"239","2018","1018","1.57638474327421e-07"
"240","2005","58","2.69579411171065e-07"
"241","2010","1033","3.18399690331683e-07"
"242","2015","2010","9.98921016133114e-08"
"243","2034","10","3.55464487548923e-07"
"244","1033","1008","1.10256011348566e-07"
"245","2022","1025","6.97783246655939e-08"
"246","2029","1033","9.16736062905884e-08"
"247","2022","2011","6.66719083699134e-08"
"248","2029","58","1.03450734067722e-07"
"249","2011","58","1.28706857192012e-07"
"250","1008","17","1.13041244404049e-07"
"251","2015","2006","1.22200600328634e-07"
"252","1013","51","1.51029242298385e-07"
"253","1028","1022","5.67396843108816e-08"
"254","2026","13","4.37862903977526e-07"
"255","2035","10","1.9765031752822e-07"
"256","2003","1018","1.62165688113974e-07"
"257","2024","1023","1.11579579823471e-07"
"258","1022","1007","8.62699074465229e-08"
"259","1020","1015","1.3439330687135e-07"
"260","2024","2011","7.4617184592914e-08"
"261","2016","1010","3.59673669958139e-07"
"262","2016","2008","1.05282207374164e-07"
"263","2017","52","3.88859910159541e-07"
"264","2007","1029","7.69966121262594e-08"
"265","2024","1022","7.98429869487034e-08"
"266","1030","1028","6.55247706121915e-08"
"267","2011","1030","8.36746679345042e-08"
"268","1033","1003","2.4349444371379e-07"
"269","2003","1027","9.65813744773496e-08"
"270","1005","18","3.50371000996393e-07"
"271","2027","1010","1.05013285041072e-07"
"272","1014","1007","1.3138850883173e-07"
"273","1025","1024","9.16122762551381e-08"
"274","2024","13","1.53115929168689e-07"
"275","2029","2027","6.93902980425221e-08"
"276","2023","53","3.16456528353693e-07"
"277","2021","1025","1.62684881153825e-07"
"278","2025","26","2.12765756036744e-07"
"279","2014","11","2.51108961626962e-07"
"280","1015","49","1.77717929269446e-07"
"281","2021","53","3.23815811322252e-07"
"282","2026","12","4.00285931229797e-07"
"283","2020","1032","5.32511679896153e-07"
"284","2028","1015","8.95845728762771e-08"
"285","2013","1022","1.25565113430165e-07"
"286","2035","2027","1.13138300675988e-07"
"287","1026","1012","2.37625867565619e-07"
"288","1025","54","2.29344953664911e-07"
"289","2010","1016","5.1135541992984e-07"
"290","2035","2009","1.50672177485385e-07"
"291","2020","2011","1.66449266346018e-07"
"292","1024","1007","1.25677430893642e-07"
"293","2028","2015","9.57910218466079e-08"
"294","2016","2012","2.96334077456296e-07"
"295","1006","1005","4.31648493862119e-07"
"296","53","10","4.65259828448656e-07"
"297","2028","1010","1.43726296272462e-07"
"298","1026","12","4.74502602931491e-07"
"299","2013","12","2.83335755272657e-07"
"300","53","13","6.89322683105268e-07"
"301","2010","17","5.36997309315124e-07"
"302","2012","1029","1.38887510362178e-07"
"303","2035","1029","1.51373805596301e-07"
"304","1026","1021","4.92927216801544e-07"
"305","1015","10","2.45525060078458e-07"
"306","2017","2003","3.48754908100053e-07"
"307","2010","1011","2.02668083915344e-07"
"308","2022","1029","1.26580207812985e-07"
"309","1005","53","4.33770126684271e-07"
"310","2035","49","3.86977776274662e-07"
"311","1009","50","2.61496874227137e-07"
"312","1015","13","3.12281627224338e-07"
"313","1027","1021","1.96001866065777e-07"
"314","2032","49","9.12712895555299e-07"
"315","1026","18","8.62088525989714e-07"
"316","2021","52","7.34507637200563e-07"
"317","2030","58","3.19854974007201e-07"
"318","2013","13","4.29015565752443e-07"
"319","1027","1010","2.11723958096464e-07"
"320","2010","1014","4.14167050463348e-07"
"321","58","12","9.88693554718592e-07"
"322","2015","1028","1.29488802908904e-07"
"323","2025","1028","1.40453549486781e-07"
"324","2022","1017","2.69107342542596e-07"
"325","2023","2014","4.43467659122587e-07"
"326","2013","1025","2.4790742968578e-07"
"327","1033","1028","2.10680884656208e-07"
"328","1021","1019","8.22316844119292e-07"
"329","1028","1007","1.60104173552924e-07"
"330","1030","52","3.48249699712857e-07"
"331","2012","1014","3.1539331986254e-07"
"332","2027","1002","2.49489527757726e-07"
"333","2030","1029","1.72772587933161e-07"
"334","2029","2014","2.2188780162168e-07"
"335","1014","1010","4.99305563878109e-07"
"336","2035","2023","4.91160204806935e-07"
"337","2019","52","1.19628403542529e-06"
"338","2020","10","7.088615050705e-07"
"339","1033","1029","2.89530472064088e-07"
"340","2021","2007","3.40237607043172e-07"
"341","2030","2009","2.18211821369168e-07"
"342","26","18","2.96035667627596e-06"
"343","2029","17","2.75715595513758e-07"
"344","2028","2012","2.01413448948867e-07"
"345","2011","10","3.37728053746657e-07"
"346","2023","52","1.09398082427162e-06"
"347","1035","1008","3.04281993271705e-07"
"348","2012","1011","2.56212741318632e-07"
"349","1028","1011","1.70763439378556e-07"
"350","2027","1003","2.48265499587912e-07"
"351","1010","1009","4.12351541852937e-07"
"352","2015","12","3.61694753346483e-07"
"353","2018","2012","4.82065808486868e-07"
"354","1011","11","3.4024459447728e-07"
"355","1033","49","1.21909086766919e-06"
"356","2034","18","2.47338184851883e-06"
"357","2002","1020","9.33167325118782e-07"
"358","1030","18","4.64350412175697e-07"
"359","2030","2020","3.95994947929411e-07"
"360","1021","10","9.40831878238161e-07"
"361","2035","13","8.15508404922413e-07"
"362","1028","1013","2.26856090534282e-07"
"363","1021","13","1.35182755074823e-06"
"364","2022","50","4.10092611566616e-07"
"365","2027","1032","3.83566139348503e-07"
"366","1013","11","5.73614633931348e-07"
"367","2029","1009","2.51224414522402e-07"
"368","2018","2002","9.72370993448517e-07"
"369","2029","1022","2.39330785831807e-07"
"370","1030","50","4.56446038943513e-07"
"371","2007","10","5.04734508218384e-07"
"372","2035","18","9.50880713364035e-07"
"373","2010","50","1.12395870299417e-06"
"374","1035","51","7.78667213920698e-07"
"375","1033","1018","9.77002566226409e-07"
"376","2006","49","1.57265221033471e-06"
"377","2005","49","9.72546125581421e-07"
"378","2013","54","8.64745248033431e-07"
"379","2016","52","2.41058223885902e-06"
"380","2025","1009","3.81387776381579e-07"
"381","1006","13","2.35398179833912e-06"
"382","2035","1011","4.08651698009549e-07"
"383","1021","50","1.23141405076638e-06"
"384","1033","1010","1.71595600122267e-06"
"385","2013","1011","4.14155067222041e-07"
"386","1021","11","1.33628831473744e-06"
"387","49","17","1.5119248359068e-06"
"388","2030","1010","6.20885328586412e-07"
"389","1016","13","2.57590814721391e-06"
"390","2034","13","3.57710940900786e-06"
"391","2002","1018","1.0783467537039e-06"
"392","2021","49","1.31331128219588e-06"
"393","1018","17","1.07174116779926e-06"
"394","1028","1009","3.16345223259134e-07"
"395","1029","1023","4.92477078245774e-07"
"396","1022","1009","4.15396798092124e-07"
"397","2035","1025","5.89371650447678e-07"
"398","2014","53","1.02055486680056e-06"
"399","2030","1009","4.4540752460021e-07"
"400","2005","50","1.20382683723895e-06"
"401","2007","1016","7.69546195140012e-07"
"402","2035","1030","5.50652980060681e-07"
"403","2028","1012","4.06782129243958e-07"
"404","2023","50","1.51376046871218e-06"
"405","2020","12","1.46499241433954e-06"
"406","2011","12","6.79084282488049e-07"
"407","2030","18","8.6010906104737e-07"
"408","1003","17","1.13618859600158e-06"
"409","1025","52","9.67333505099209e-07"
"410","1035","1032","1.59808538670247e-06"
"411","1021","18","2.44138211289149e-06"
"412","2005","52","1.80209962310612e-06"
"413","1006","1003","1.28625912977338e-06"
"414","1027","52","6.82316634445758e-07"
"415","1033","1025","9.6031439092635e-07"
"416","2034","1025","1.00796408037131e-06"
"417","2030","1011","4.58397311630123e-07"
"418","2021","1029","6.06296717231653e-07"
"419","1021","53","1.73990028296588e-06"
"420","2023","2016","2.10144314083127e-06"
"421","2030","1021","8.12118729677432e-07"
"422","1016","1003","1.37171885446705e-06"
"423","1026","13","2.69921408091183e-06"
"424","1027","1011","4.23745166374185e-07"
"425","52","18","5.46714055652882e-06"
"426","2030","13","9.81290669306164e-07"
"427","1008","11","8.02176733168252e-07"
"428","18","11","2.83434840549062e-06"
"429","1033","1011","8.15350390729868e-07"
"430","58","18","7.19908637460792e-06"
"431","1033","1005","1.98835173920604e-06"
"432","2009","50","8.8061138269891e-07"
"433","2014","13","1.78012044556541e-06"
"434","2025","1007","6.7695172781567e-07"
"435","1031","1018","7.6240293430737e-07"
"436","1003","49","1.40463140942319e-06"
"437","1028","52","6.60390792055719e-07"
"438","2025","1014","8.03764114879327e-07"
"439","2026","2010","2.30168465832002e-06"
"440","2023","58","3.15088158745875e-06"
"441","1009","49","1.00337394285717e-06"
"442","2030","17","9.44722886207144e-07"
"443","2011","1007","6.30816497829371e-07"
"444","2035","53","1.42772641353564e-06"
"445","2035","2005","1.23780118326136e-06"
"446","51","17","2.27403928068622e-06"
"447","2012","1030","7.41093424059726e-07"
"448","2021","2009","9.36988337717769e-07"
"449","1019","1011","9.4749427357014e-07"
"450","2016","2015","1.02948755670139e-06"
"451","1020","1009","1.06738847189264e-06"
"452","2034","12","3.22185684242784e-06"
"453","2006","51","2.92365047407634e-06"
"454","2029","2026","8.15927271011616e-07"
"455","2009","58","1.23090968071998e-06"
"456","2010","54","3.64039000913938e-06"
"457","2025","2014","9.37333839015434e-07"
"458","2030","1033","1.16987102162999e-06"
"459","1011","1006","9.83193747653305e-07"
"460","52","12","3.46921628331956e-06"
"461","1029","1016","8.91654131801245e-07"
"462","58","10","4.20783731443693e-06"
"463","1029","49","8.6198845070903e-07"
"464","1011","49","9.52879190755491e-07"
"465","2031","2018","1.16409904954851e-06"
"466","2011","50","1.018104301589e-06"
"467","2034","2010","3.75373171990682e-06"
"468","2029","1012","6.98967768357847e-07"
"469","2034","2025","1.40865721384282e-06"
"470","2010","18","4.10270124726718e-06"
"471","2027","1019","9.20340960123077e-07"
