"","source node","dest node","edge weight"
"1","2024","1029","1.93603864194841e-09"
"2","2006","1015","4.68018976297413e-09"
"3","2009","1003","4.44311862923809e-09"
"4","2029","1016","4.92319010234829e-09"
"5","2028","1016","3.36634771991458e-09"
"6","2008","1015","3.2281229264706e-09"
"7","2009","1006","7.55680049907944e-09"
"8","2010","12","1.28252702843919e-08"
"9","2022","10","6.9387521518263e-09"
"10","1033","1002","2.5113737392045e-08"
"11","2028","17","4.20179136735324e-09"
"12","2024","1013","4.93769826153564e-09"
"13","1033","52","3.21592174646837e-08"
"14","2010","2006","1.99519983796877e-08"
"15","2028","18","5.02462909241934e-09"
"16","2029","12","6.55766079236646e-09"
"17","2017","2013","1.02351383365838e-08"
"18","2015","1013","5.89935563693363e-09"
"19","53","18","2.91630617881956e-08"
"20","1030","1028","3.77710120702215e-09"
"21","2025","1018","7.77651351210612e-09"
"22","1027","49","6.76638879918654e-09"
"23","1006","26","4.4860108689013e-08"
"24","2030","49","9.33407228072222e-09"
"25","1020","51","1.70576179682439e-08"
"26","1030","13","1.00111548004164e-08"
"27","1028","52","6.23162931673796e-09"
"28","2025","1003","7.4668018987455e-09"
"29","2016","1011","8.82424239378839e-09"
"30","2013","1015","7.8111683751045e-09"
"31","2011","1006","1.00990002469458e-08"
"32","1027","51","7.64444133683748e-09"
"33","1008","49","8.94267818297311e-09"
"34","2007","2001","1.1189889507847e-08"
"35","2014","1007","8.58621811020517e-09"
"36","1005","53","2.01162375640791e-08"
"37","2016","1024","8.76298259521576e-09"
"38","1013","51","1.39098288303124e-08"
"39","2006","1011","1.01361620153872e-08"
"40","2011","1016","1.04695064908568e-08"
"41","2019","1020","2.1077967940118e-08"
"42","1013","50","1.42824489577485e-08"
"43","1021","1014","1.73963341574847e-08"
"44","2027","13","9.86736405570304e-09"
"45","1030","1013","8.88406354471191e-09"
"46","2020","2015","1.0313907720823e-08"
"47","2015","2005","1.0100939530473e-08"
"48","2024","2014","8.81958450767777e-09"
"49","2025","2020","1.13665599472983e-08"
"50","1010","1006","3.05644253581169e-08"
"51","2007","11","1.32695409273212e-08"
"52","2022","2007","8.63124215161784e-09"
"53","2003","2001","2.39893146604625e-08"
"54","2005","12","2.401378284143e-08"
"55","54","12","4.05088064953885e-08"
"56","1016","1002","4.29338216704782e-08"
"57","50","12","2.75131152248932e-08"
"58","2007","1024","8.4112672532442e-09"
"59","1011","18","1.44231853896043e-08"
"60","1002","18","6.70126907567644e-08"
"61","1029","1001","1.25932858269735e-08"
"62","1017","1011","1.21163076809543e-08"
"63","1013","53","2.08170134319016e-08"
"64","1018","13","3.91470669671748e-08"
"65","2015","1029","8.4367589035203e-09"
"66","1019","1003","2.43550595127102e-08"
"67","2034","51","5.08039743494015e-08"
"68","1031","1018","1.58544581704525e-08"
"69","1017","1007","1.46852060428429e-08"
"70","2012","2007","1.36217205035315e-08"
"71","2016","1016","4.82513525165032e-08"
"72","2030","1008","1.06349691946938e-08"
"73","1008","10","1.58423974478732e-08"
"74","2030","1005","1.70126017775948e-08"
"75","2022","2012","1.3995967217557e-08"
"76","1023","1009","1.9461408907088e-08"
"77","2009","11","1.94843505731732e-08"
"78","1021","1002","5.24085544424509e-08"
"79","1025","1006","2.19711309174795e-08"
"80","2025","54","2.32107897227864e-08"
"81","2015","50","1.85846907204501e-08"
"82","2013","18","3.52599637152243e-08"
"83","1015","1005","2.05334028046795e-08"
"84","2011","18","2.35993509237418e-08"
"85","2007","1006","2.54879481029181e-08"
"86","2013","13","3.71278927660777e-08"
"87","2011","17","2.17266180310215e-08"
"88","2017","2011","2.04606327060217e-08"
"89","2006","1029","2.21023421324515e-08"
"90","1033","1018","5.39157189481403e-08"
"91","2027","17","1.8876972365491e-08"
"92","2028","1013","1.22583755100842e-08"
"93","2011","1015","1.58389551245678e-08"
"94","1022","1018","2.08601956897177e-08"
"95","2023","1027","1.93774325839323e-08"
"96","2035","1005","3.13319416260621e-08"
"97","2006","1016","8.57872048383984e-08"
"98","1025","1001","2.78697728254256e-08"
"99","2032","58","2.08973285179035e-07"
"100","1022","1013","2.05621446102833e-08"
"101","1006","53","8.35891053449192e-08"
"102","2003","11","4.88543916139216e-08"
"103","2026","1011","2.77459988680018e-08"
"104","2011","13","3.56863296454372e-08"
"105","1035","49","4.84863337639143e-08"
"106","1035","1008","2.4312632479513e-08"
"107","2023","1018","6.35246412006866e-08"
"108","2027","1025","1.97742599203786e-08"
"109","1033","1013","5.40000367062293e-08"
"110","51","13","1.12065493111729e-07"
"111","1023","1007","3.40760733267276e-08"
"112","2034","2010","1.08525510541599e-07"
"113","2018","52","1.08412057374496e-07"
"114","2029","2020","3.04916512774625e-08"
"115","2015","1018","3.24819796957424e-08"
"116","2024","1010","3.11015962766493e-08"
"117","2013","11","5.43072569046504e-08"
"118","2029","17","3.63393385604444e-08"
"119","1033","1008","3.97476208462498e-08"
"120","2028","1012","2.06813309874694e-08"
"121","2026","1028","2.65995919114079e-08"
"122","2035","1008","3.04665205823484e-08"
"123","1024","50","3.50332641308791e-08"
"124","2006","1022","4.44500809796565e-08"
"125","1016","49","1.11371341798446e-07"
"126","2025","1033","4.85601552048144e-08"
"127","1021","26","1.75660688325035e-07"
"128","2013","1022","3.31389500391897e-08"
"129","1028","51","2.86849720950525e-08"
"130","2012","2005","5.96273860760212e-08"
"131","1033","49","1.32109508156832e-07"
"132","2012","52","8.90372779942236e-08"
"133","2017","1018","9.26009282769398e-08"
"134","1013","13","8.47745328911807e-08"
"135","1026","12","1.24817145319941e-07"
"136","2015","1003","4.01497258373149e-08"
"137","2016","12","1.31865737745803e-07"
"138","2021","2020","1.01090824060625e-07"
"139","2025","1028","2.51399003692366e-08"
"140","1022","1010","4.89727396650329e-08"
"141","2013","58","1.02334634851139e-07"
"142","2013","17","8.4187111989232e-08"
"143","53","52","2.13955261308292e-07"
"144","1030","17","5.98310525573728e-08"
"145","2035","1021","8.25272511674149e-08"
"146","2003","49","1.03150172451445e-07"
"147","2031","2003","5.90304615628684e-08"
"148","2026","18","2.24527361010942e-07"
"149","1033","17","1.87481829819858e-07"
"150","1025","1024","3.86548550569712e-08"
"151","2012","2009","5.83288252119435e-08"
"152","2026","13","2.31382068477013e-07"
"153","2010","1009","8.03059739097262e-08"
"154","2009","1010","7.80011005423461e-08"
"155","2023","2022","7.20192779075843e-08"
"156","2011","53","7.2961824293988e-08"
"157","2023","1003","1.02803049563466e-07"
"158","52","11","2.27780425364459e-07"
"159","2030","1015","5.13326825564959e-08"
"160","1021","50","1.62600144223669e-07"
"161","2024","1007","4.3693505925742e-08"
"162","2032","2003","1.67964456759943e-07"
"163","2027","12","5.90503643224497e-08"
