"","source node","dest node","edge weight"
"1","2007","1033","6.10501596452801e-09"
"2","2010","1011","4.84296596856757e-09"
"3","2033","1033","1.97684246983216e-08"
"4","2015","12","5.66916746018964e-09"
"5","2024","1013","4.12359457724118e-09"
"6","2029","1012","3.88844545224065e-09"
"7","2028","17","4.10907553858022e-09"
"8","2011","1010","6.06393047595425e-09"
"9","1022","1013","4.76096750857364e-09"
"10","1015","13","9.41752601591562e-09"
"11","2029","12","5.12242049559043e-09"
"12","2006","13","3.15351083635183e-08"
"13","2020","2007","6.77744502405333e-09"
"14","2015","10","7.61105458577385e-09"
"15","2015","58","9.40590704772858e-09"
"16","2030","58","1.00096763183481e-08"
"17","1015","58","1.08261225964924e-08"
"18","1030","10","8.5794252497367e-09"
"19","2035","1011","6.05132076193693e-09"
"20","2021","18","2.10996106676065e-08"
"21","2003","1029","5.2534279299356e-09"
"22","1031","10","7.55258814017871e-09"
"23","2025","2012","6.68198112026551e-09"
"24","2005","1033","1.91456963560576e-08"
"25","2021","2012","1.12435404373662e-08"
"26","2005","50","1.63321156659276e-08"
"27","2015","1013","6.75204671943687e-09"
"28","2033","2021","2.15827350990839e-08"
"29","2008","1008","5.61351162341559e-09"
"30","2009","1033","1.28472415814043e-08"
"31","2030","12","1.180276560523e-08"
"32","2033","1007","1.35738507805743e-08"
"33","2035","1009","9.54617346880618e-09"
"34","2010","1021","2.32856864628707e-08"
"35","2010","26","4.31478572033913e-08"
"36","2011","1028","5.08336540965004e-09"
"37","2013","13","1.55847970776774e-08"
"38","1023","13","3.64444079392958e-08"
"39","1015","54","1.64008579150748e-08"
"40","2028","1011","5.36632441912387e-09"
"41","1015","52","1.73885358540995e-08"
"42","1028","18","8.49221056900032e-09"
"43","2021","1007","1.34184177878173e-08"
"44","1008","18","1.6270890632693e-08"
"45","2035","2013","1.2008919781806e-08"
"46","1028","17","8.57488020726575e-09"
"47","2028","1035","7.36296462283827e-09"
"48","1019","1011","1.40254727860866e-08"
"49","1033","58","8.06607070580391e-08"
"50","2026","1025","1.59339107641245e-08"
"51","2015","1012","1.22823956656817e-08"
"52","1022","1018","1.39501315509571e-08"
"53","1010","18","4.82440610953066e-08"
"54","53","13","5.29468188814172e-08"
"55","2019","2015","1.72336288062035e-08"
"56","2011","1016","1.56782603970316e-08"
"57","2025","2024","9.99637993415066e-09"
"58","2023","1014","2.84364670675498e-08"
"59","1011","50","1.55015208684039e-08"
"60","2005","26","4.2523317055954e-08"
"61","2025","1014","1.52857919288778e-08"
"62","1028","52","1.13932790909138e-08"
"63","1035","1005","2.03597345460158e-08"
"64","2008","1010","1.35990686950711e-08"
"65","1034","1028","1.13450566447707e-08"
"66","1016","1008","1.88354998360604e-08"
"67","2019","49","4.95383450742197e-08"
"68","2007","1006","2.18664009830185e-08"
"69","2029","58","1.61508088845574e-08"
"70","2029","1015","1.12128802624146e-08"
"71","1016","52","7.46589871602929e-08"
"72","2016","1021","4.61535014474624e-08"
"73","2033","2003","3.68600376714851e-08"
"74","1034","1020","5.97803445963239e-08"
"75","2015","1015","1.52333609149165e-08"
"76","2025","1009","1.39564197052698e-08"
"77","2030","1009","1.53587764017274e-08"
"78","2024","2011","1.27686732528524e-08"
"79","49","13","7.69178694475208e-08"
"80","1006","49","6.20771958339841e-08"
"81","2011","2003","1.84705569596161e-08"
"82","1025","18","2.75943966572257e-08"
"83","2011","1027","1.20734169843316e-08"
"84","2016","1006","7.9590374248159e-08"
"85","2011","52","2.70095896291718e-08"
"86","1013","18","3.42444371690429e-08"
"87","1015","11","3.03908831272023e-08"
"88","2029","2001","2.01291822588959e-08"
"89","2012","2011","1.90051428220212e-08"
"90","2034","2025","2.93574235128657e-08"
"91","2025","1028","1.18959550035502e-08"
"92","1035","1025","2.05551471513677e-08"
"93","2029","2014","1.75163941650147e-08"
"94","2010","17","6.44897264598649e-08"
"95","2021","1033","6.15550650712974e-08"
"96","2033","50","7.68450030722542e-08"
"97","1016","1005","5.26439451237491e-08"
"98","1007","54","4.0880601429704e-08"
"99","1012","13","5.27039440590532e-08"
"100","1014","54","7.82278729970482e-08"
"101","2014","12","5.05749077780408e-08"
"102","1009","50","3.42865559390279e-08"
"103","2035","2023","4.40276021501575e-08"
"104","2007","17","3.53090820674169e-08"
"105","2033","17","9.64275522170423e-08"
"106","1033","11","1.02875382912686e-07"
"107","2012","2009","2.83313002434383e-08"
"108","1028","49","2.13257896517226e-08"
"109","1031","1027","1.74704373790745e-08"
"110","2023","1026","7.28807706071131e-08"
"111","2015","1033","4.17252187264875e-08"
"112","52","26","2.65757857570812e-07"
"113","2030","10","4.03382142463076e-08"
"114","2028","1007","1.80653988734666e-08"
"115","2034","2010","1.24117160763531e-07"
"116","2009","1007","2.81706367661703e-08"
"117","2007","52","4.86756199945113e-08"
"118","2013","1033","5.07986998334242e-08"
"119","2008","52","3.56589801156743e-08"
