"","source node","dest node","edge weight"
"1","2006","1011","5.44319651051276e-09"
"2","2024","1029","2.87932504507622e-09"
"3","1024","1011","3.22711717222391e-09"
"4","2030","1021","6.49807604238688e-09"
"5","2006","1016","2.10785779161754e-08"
"6","2013","1029","3.98976510162056e-09"
"7","2013","13","9.57470980343489e-09"
"8","2028","1011","3.310334963348e-09"
"9","1024","1016","6.45415723232067e-09"
"10","2013","1008","4.87486579577558e-09"
"11","1005","51","1.32753083827468e-08"
"12","2017","1007","7.74929823816646e-09"
"13","2016","1029","5.99989357947379e-09"
"14","1030","53","7.69891469361929e-09"
"15","2024","17","7.31148545713555e-09"
"16","1007","11","9.58354041907306e-09"
"17","2013","2008","5.16915572610289e-09"
"18","2008","18","7.89699032271015e-09"
"19","1022","52","1.00454506236611e-08"
"20","2030","2005","9.45602453825589e-09"
"21","1025","1006","1.17297070664659e-08"
"22","1035","1007","9.36895715234935e-09"
"23","2028","13","7.91128326998173e-09"
"24","2016","1011","9.76611996998463e-09"
"25","1015","13","1.55416823692893e-08"
"26","2011","1022","7.24494936595965e-09"
"27","2007","2003","1.16743600890947e-08"
"28","2007","1029","7.23628413862747e-09"
"29","1006","1005","2.6902138153803e-08"
"30","2019","1027","1.11003123760993e-08"
"31","2013","1009","1.04556403091225e-08"
"32","2013","1024","9.16296570943973e-09"
"33","2022","1013","9.53175123142035e-09"
"34","2007","1010","1.62293706925379e-08"
"35","2031","2027","8.82277971523836e-09"
"36","2022","1007","9.80528640076671e-09"
"37","50","12","3.50277443311469e-08"
"38","2016","2005","2.92328804440685e-08"
"39","2016","1024","1.39520684894145e-08"
"40","2023","2014","2.51804124089912e-08"
"41","2011","1009","1.13200904140767e-08"
"42","2010","1001","3.77154938346174e-08"
"43","1022","17","1.49190631725897e-08"
"44","2012","1027","1.13644905729874e-08"
"45","2003","17","3.00849959335263e-08"
"46","2021","10","3.43282591421211e-08"
"47","1007","13","2.19911615932352e-08"
"48","1034","51","4.67755658041787e-08"
"49","2029","1034","1.39665888675692e-08"
"50","1020","1003","2.99581308962431e-08"
"51","2024","53","1.6451313852503e-08"
"52","2013","54","2.45402619269927e-08"
"53","1016","54","6.20305280187395e-08"
"54","2025","1011","1.14846573936511e-08"
"55","2023","1035","2.77054224422011e-08"
"56","2002","49","4.92018255810219e-08"
"57","2029","1011","9.44867603568232e-09"
"58","2023","11","4.33441398154646e-08"
"59","2025","1016","2.14197551008611e-08"
"60","2008","1007","1.12482616317535e-08"
"61","1001","49","4.97272053197407e-08"
"62","2033","2008","1.77125486393557e-08"
"63","1010","18","6.41073477538138e-08"
"64","1011","54","2.18537121048309e-08"
"65","2028","2001","1.51629552070811e-08"
"66","2020","2008","1.71249797424599e-08"
"67","2002","26","1.05776989269088e-07"
"68","2029","2006","1.84652950650892e-08"
"69","1028","1009","1.22514339843165e-08"
"70","2011","1010","2.33619934375159e-08"
"71","2003","13","5.96714115341931e-08"
"72","1020","58","8.04019761929861e-08"
"73","1035","58","5.15304683287569e-08"
"74","2025","11","2.82467990119166e-08"
"75","1035","1009","2.33589273849601e-08"
"76","2010","50","5.78030081385394e-08"
"77","2007","1008","1.66470977458371e-08"
"78","2010","2002","6.430044881879e-08"
"79","2016","12","6.00292558397498e-08"
"80","2023","49","5.70692620048189e-08"
"81","1028","1013","1.40598757822216e-08"
"82","2014","12","4.5185545690015e-08"
"83","2021","1011","2.45359870827243e-08"
"84","1011","13","2.98477397406807e-08"
"85","2035","18","5.02501471517981e-08"
"86","2029","12","2.14881052568595e-08"
"87","2013","2003","3.06113033323429e-08"
"88","2026","2012","4.63331283101063e-08"
"89","2017","1021","5.51822193404841e-08"
"90","2011","13","3.62111214862488e-08"
"91","1033","1016","8.26632477948521e-08"
"92","2022","2015","1.9479455648284e-08"
"93","1006","52","1.3630551908492e-07"
"94","2006","51","9.05667162533648e-08"
"95","1030","10","3.24542565494274e-08"
"96","1030","51","3.20807020009697e-08"
"97","2006","52","1.5648219650775e-07"
"98","2002","53","7.95509796278121e-08"
"99","1028","1010","2.38037809021499e-08"
"100","2020","2003","6.04208039051137e-08"
"101","1028","1007","1.84333048186628e-08"
"102","2011","17","3.57777839502613e-08"
"103","49","18","1.21707128540842e-07"
"104","2033","2025","4.47780209922003e-08"
"105","2020","12","7.63631308689399e-08"
"106","2010","1011","3.41245828802939e-08"
"107","1003","51","6.61091376047108e-08"
"108","1030","54","4.48515166050494e-08"
"109","2031","2020","3.91610412907559e-08"
"110","2022","2013","2.70959909897089e-08"
"111","1030","1005","3.74864210283323e-08"
"112","2007","12","4.58381110371478e-08"
"113","2029","1007","2.43857090922397e-08"
"114","2015","2013","3.24299017173733e-08"
"115","2035","13","7.9862177786728e-08"
"116","2024","2013","2.98127238553752e-08"
"117","2008","1015","2.68619218641159e-08"
"118","1019","1014","8.55274957883906e-08"
"119","2011","1006","5.08455145675055e-08"
"120","2017","1002","1.09176820650703e-07"
"121","2007","1009","3.48252653925503e-08"
"122","2024","1022","2.78339780955145e-08"
"123","2033","2019","1.54625392691688e-07"
"124","53","13","1.53248161994018e-07"
