"","source node","dest node","edge weight"
"1","2016","1025","5.90129375520327e-09"
"2","2013","1029","4.40540918382588e-09"
"3","2009","1011","4.57358440794678e-09"
"4","2024","1013","4.34293712806652e-09"
"5","2029","2016","6.04750438784597e-09"
"6","1017","13","2.14999217681026e-08"
"7","2025","1035","6.48080821988763e-09"
"8","1014","1009","7.80113531297e-09"
"9","2009","50","1.02406167097588e-08"
"10","1009","13","1.14889402504228e-08"
"11","2030","1013","5.89515195043646e-09"
"12","2029","1013","5.30764273658609e-09"
"13","1025","1019","9.06128261271238e-09"
"14","2006","1016","3.19450119860347e-08"
"15","1032","51","2.70563290480054e-08"
"16","2034","13","4.36409387215511e-08"
"17","2030","12","8.30997948426599e-09"
"18","2012","1011","6.34818336073869e-09"
"19","2018","1031","8.46023261346435e-09"
"20","1021","51","1.87521032420144e-08"
"21","1019","1010","2.08168474366626e-08"
"22","2015","12","1.0234290505709e-08"
"23","2013","12","1.24037805792922e-08"
"24","1026","49","2.33956837228958e-08"
"25","2027","2009","5.86560520665334e-09"
"26","26","18","7.30695037119308e-08"
"27","1026","18","3.74044140718386e-08"
"28","2011","54","9.11943774106607e-09"
"29","54","50","3.26045055511986e-08"
"30","1014","1011","7.88651282763745e-09"
"31","2027","1031","5.8203819895518e-09"
"32","1007","11","1.26467130017285e-08"
"33","2018","2015","1.09380460611203e-08"
"34","2032","12","3.28165934402188e-08"
"35","2010","1030","1.06719847106841e-08"
"36","18","11","4.0324040934667e-08"
"37","1030","1005","1.05478157539188e-08"
"38","1013","50","1.5386327814379e-08"
"39","2012","1007","1.16069597403274e-08"
"40","2009","1010","1.54548035752125e-08"
"41","2035","2015","1.10442624896002e-08"
"42","2003","1020","2.19038955468282e-08"
"43","2011","52","1.25060445882176e-08"
"44","2009","1029","8.69174579203484e-09"
"45","2007","1030","9.48665978560081e-09"
"46","2025","1026","1.55992882283104e-08"
"47","2018","1001","3.0415173733456e-08"
"48","51","18","5.05499520192655e-08"
"49","1015","1014","1.52540025149422e-08"
"50","1009","50","1.96457604178889e-08"
"51","2013","26","2.98622222462648e-08"
"52","2030","49","1.67409083888452e-08"
"53","2029","12","1.41022918421149e-08"
"54","2011","1010","1.39197867613323e-08"
"55","2005","58","5.06581036077853e-08"
"56","1012","51","2.36301533977021e-08"
"57","1034","1015","2.33459734909736e-08"
"58","2027","1026","1.55178758689682e-08"
"59","1032","10","6.24517732795974e-08"
"60","2007","1025","1.43230517534352e-08"
"61","1027","1008","1.11588786192888e-08"
"62","2015","2003","2.09610669209765e-08"
"63","1009","53","2.59685603255034e-08"
"64","1007","53","2.62897612222598e-08"
"65","2026","1010","5.31058418229455e-08"
"66","53","52","7.18204513481968e-08"
"67","2019","2014","4.05747488528106e-08"
"68","2035","1016","3.55669749780559e-08"
"69","2014","1016","4.45218014122991e-08"
"70","2003","12","4.40928056506848e-08"
"71","2002","1014","4.14441008561033e-08"
"72","2023","2022","2.37453461923856e-08"
"73","2027","2021","1.93464761625099e-08"
"74","2028","2007","1.36182676861311e-08"
