"","source node","dest node","edge weight"
"1","2029","1009","2.7748174907152e-09"
"2","2033","1028","3.69894608414454e-09"
"3","2007","1030","3.67155942755493e-09"
"4","2013","1015","3.92227382742441e-09"
"5","2011","10","5.101657260317e-09"
"6","1021","52","1.83538134085943e-08"
"7","1027","1013","3.95751055140964e-09"
"8","2011","1016","6.17506255746158e-09"
"9","2028","2007","3.89370115876633e-09"
"10","2009","1007","5.40826673385039e-09"
"11","2035","1030","6.47882273959881e-09"
"12","1021","1012","1.00943527906495e-08"
"13","1012","1011","5.56284867591897e-09"
"14","1012","49","1.11291064958326e-08"
"15","2024","1025","4.91873699186786e-09"
"16","2009","1010","9.02473955443442e-09"
"17","2028","1010","6.28897643746392e-09"
"18","1035","52","1.93073689716451e-08"
"19","2029","2027","4.25345211560698e-09"
"20","1035","26","2.11794493443016e-08"
"21","2029","2016","7.86007858957698e-09"
"22","1030","11","1.01205111674527e-08"
"23","2031","1025","7.00449763462784e-09"
"24","1033","13","4.02721001669401e-08"
"25","2033","50","2.92180628311966e-08"
"26","2018","1020","1.98353289427854e-08"
"27","2024","2009","5.94461828477617e-09"
"28","1030","1028","5.40190016661486e-09"
"29","2031","1022","7.09629712241969e-09"
"30","1009","1003","1.03532752731738e-08"
"31","1015","11","1.22744429952154e-08"
"32","2021","54","3.2795556803305e-08"
"33","2014","13","2.45706575763697e-08"
"34","2019","1027","1.01738380509174e-08"
"35","1024","49","1.01760228664083e-08"
"36","2019","1019","3.08645469935792e-08"
"37","1020","49","2.64608986653281e-08"
"38","1019","49","3.31572253682417e-08"
"39","2025","1007","8.41911007123917e-09"
"40","2009","10","1.31036798495146e-08"
"41","2034","10","4.19548120182479e-08"
"42","1020","51","2.87525116995582e-08"
"43","2026","2010","3.69064235512505e-08"
"44","2024","2011","6.73308813670702e-09"
"45","2020","53","2.80029523013549e-08"
"46","2011","1007","8.59568093687798e-09"
"47","2033","2028","1.02202320585991e-08"
"48","2024","11","1.11995011784437e-08"
"49","1022","1009","9.13404821310247e-09"
"50","2028","1012","8.34999976681677e-09"
"51","2015","1030","9.47847918640258e-09"
"52","1013","11","1.69577493735059e-08"
"53","2006","1009","1.84726822753945e-08"
"54","1034","13","8.06880742774068e-08"
"55","2020","52","4.66507945620376e-08"
"56","2022","2015","9.82566854423847e-09"
"57","2009","1009","1.10783239793767e-08"
"58","2028","1029","7.27205032170139e-09"
"59","2007","12","1.82211522954487e-08"
"60","2013","1028","8.70523147686564e-09"
"61","1022","1002","1.66554854078621e-08"
"62","2025","1033","1.82946431974188e-08"
"63","2025","2006","1.98625927220398e-08"
"64","1023","10","3.90086393164906e-08"
"65","2025","1035","1.6548014981211e-08"
"66","2011","58","2.01489383142781e-08"
"67","2035","2010","3.1554034660251e-08"
"68","1023","1014","3.35707606304627e-08"
"69","2022","1010","1.9748002029556e-08"
"70","2016","1011","1.77293763262226e-08"
"71","2001","1025","2.2879168063902e-08"
"72","2010","12","5.08470908753904e-08"
"73","1035","53","3.36649094620321e-08"
"74","2029","1016","1.75569762045176e-08"
"75","2028","1022","1.03995092651322e-08"
"76","2030","2017","2.02442699381821e-08"
"77","53","11","5.19171499042217e-08"
"78","1016","52","7.70833318686473e-08"
"79","1031","13","2.94594537128755e-08"
"80","2030","2028","1.19362859811348e-08"
"81","2029","2006","2.06788163714103e-08"
"82","1013","1003","2.08676246621599e-08"
"83","2017","2013","2.46771540492046e-08"
"84","52","18","1.51850159487569e-07"
"85","2032","1027","2.43024674171556e-08"
"86","1022","26","2.68326225566237e-08"
"87","2029","1030","1.41128483861224e-08"
"88","1024","26","2.46174122110276e-08"
"89","2009","1005","2.37427371097889e-08"
"90","2005","1002","4.9418806445348e-08"
"91","2028","2005","1.68932702664617e-08"
"92","2034","2005","5.7008990324795e-08"
"93","1018","13","7.42600512240542e-08"
"94","1007","13","3.66102859832525e-08"
"95","2028","2015","1.42620093413638e-08"
"96","1011","53","2.37493358041151e-08"
"97","2006","58","1.44930661979983e-07"
"98","1007","1003","2.59539341460015e-08"
