"","source node","dest node","edge weight"
"156","2024","11","6.84929648357607e-08"
"157","2026","54","3.11758984504235e-07"
"158","2033","18","3.48921788207818e-07"
"159","2015","1005","7.05868374094982e-08"
"160","2028","1025","3.61568038325489e-08"
"161","2013","1030","5.95680520525495e-08"
"162","1035","1007","8.37655258006262e-08"
"163","2035","1035","1.11859916472882e-07"
"164","2026","1020","1.91217773616178e-07"
"165","1029","49","6.09821184699132e-08"
"166","1025","1014","7.78432896555791e-08"
"167","49","26","3.45479844363722e-07"
"168","2013","1017","9.61369054113574e-08"
"169","2033","1008","1.10691228403571e-07"
"170","2022","2015","5.79332948169261e-08"
"171","1029","1006","6.73996390077869e-08"
"172","1021","1009","1.13612962036804e-07"
"173","1021","1016","2.08146924592571e-07"
"174","2032","1032","5.17886144201597e-07"
"175","2033","2025","9.54029682248489e-08"
"176","2030","2007","6.70826651309352e-08"
"177","2027","2002","7.21764235334436e-08"
"178","2027","1002","7.50441299272117e-08"
"179","2028","2007","4.58550507893516e-08"
"180","1021","1006","2.35997552248821e-07"
"181","1034","1010","2.66586291263047e-07"
"182","2035","2013","9.89038331132807e-08"
"183","2031","2020","9.9909896791444e-08"
"184","1033","52","3.98708423503607e-07"
"185","1020","52","2.75513321384219e-07"
"186","2007","1030","7.36569739456797e-08"
"187","2018","2008","9.07415718533072e-08"
"188","2010","1008","1.26517074231968e-07"
"189","2029","10","7.45167466105292e-08"
"190","1022","1007","7.51323780491802e-08"
"191","2035","1030","9.78754183525006e-08"
"192","2009","12","1.18939519414818e-07"
"193","1015","51","1.33009210330292e-07"
"194","1005","10","2.15579780199972e-07"
"195","1007","51","1.46665512914298e-07"
"196","1007","52","1.70144313313019e-07"
"197","1017","1007","1.32855600009883e-07"
"198","1006","10","3.61013569399181e-07"
"199","1015","18","1.70732903404042e-07"
"200","2009","1005","1.17953706166228e-07"
"201","2013","1022","8.64195237040988e-08"
"202","2024","2023","1.07992844814139e-07"
"203","2005","54","3.12540974086451e-07"
"204","2022","2018","1.26188222080612e-07"
"205","1035","51","2.25552349951519e-07"
"206","1007","13","1.81843916826764e-07"
"207","1018","1012","1.60391366343834e-07"
"208","1028","53","8.29565333298456e-08"
"209","2034","52","7.790737280271e-07"
"210","1005","51","2.42846363576254e-07"
"211","1012","54","2.4146393235407e-07"
"212","2030","1009","1.10786478532125e-07"
"213","1006","49","4.07244499092379e-07"
"214","2005","12","2.5657098925244e-07"
"215","2007","1016","1.72189760290413e-07"
"216","2006","1007","1.90817651468159e-07"
"217","1013","52","1.99270733546712e-07"
"218","1015","50","1.68802066813771e-07"
"219","1006","11","4.2315080534708e-07"
"220","2022","1013","1.06077716818875e-07"
"221","2033","1025","1.65284025710468e-07"
"222","1030","49","1.60566570412759e-07"
"223","2028","1013","7.63970887938381e-08"
"224","2015","1008","1.11476431371406e-07"
"225","2027","2001","1.20457442385605e-07"
"226","2015","1035","1.40927792579364e-07"
"227","2005","1030","1.57862017911021e-07"
"228","2007","1006","2.16015598680897e-07"
"229","1014","1006","3.73406446803731e-07"
"230","1012","17","2.50827781973642e-07"
"231","2015","1011","9.99162958412831e-08"
"232","2007","17","2.02365935156133e-07"
"233","2028","2013","8.55153482888083e-08"
"234","1027","1009","1.12082013588795e-07"
"235","2022","2012","1.51946330466111e-07"
"236","2009","1030","1.25787237320375e-07"
"237","2010","54","6.57629893665945e-07"
"238","1011","1006","1.78139396052245e-07"
"239","2027","1020","1.34059426408845e-07"
"240","1020","1008","2.13146620317977e-07"
"241","1025","1006","2.2390377392154e-07"
"242","2029","1011","9.34973854325093e-08"
"243","1033","1008","2.54259187407117e-07"
"244","2029","2003","1.25011035130037e-07"
"245","2026","13","8.25278782598299e-07"
"246","58","53","8.00471419770513e-07"
"247","2013","1015","1.7180346923981e-07"
"248","1030","52","2.54506037575258e-07"
"249","1011","52","2.09575935462688e-07"
"250","2020","2009","2.25519296471278e-07"
"251","2031","2003","1.89210234402371e-07"
"252","2029","1013","1.18169016188702e-07"
"253","2014","1027","1.58830710387686e-07"
"254","1029","1016","1.75813685996619e-07"
"255","2012","2001","3.8110069320529e-07"
"256","2014","18","5.00977210265115e-07"
"257","1022","1008","1.61675198146518e-07"
"258","53","18","7.89051338546409e-07"
"259","2007","13","3.34135396681084e-07"
