Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
2029	1009	0.0035	1	282.4969	
2033	1028	0.0040	1	249.7390	
2007	1030	0.0042	1	238.7467	
2013	1015	0.0043	1	230.7501	
2011	10	0.0044	1	228.7457	
1021	52	0.0046	1	219.5001	
1027	1013	0.0049	1	202.9966	
2011	1016	0.0053	1	190.0001	
2028	2007	0.0056	1	179.4511	
2009	1007	0.0058	1	172.7385	
2035	1030	0.0060	1	167.7502	
1021	1012	0.0062	1	160.9998	
1012	1011	0.0064	1	155.2377	
1012	49	0.0065	1	154.3866	
2024	1025	0.0066	2	304.4413	
2009	1010	0.0066	1	151.4882	
2028	1010	0.0067	1	150.2501	
1035	52	0.0068	1	147.7501	
2029	2027	0.0069	1	145.7502	
1035	26	0.0070	1	143.2388	
2029	2016	0.0071	1	141.2501	
1030	11	0.0075	1	133.4998	
2031	1025	0.0075	1	133.0000	
1033	13	0.0076	1	130.7498	
2033	50	0.0078	1	128.7500	
2018	1020	0.0078	1	128.7500	
2024	2009	0.0081	1	123.0002	
1030	1028	0.0084	1	119.0000	
2031	1022	0.0085	1	116.9958	
1009	1003	0.0089	1	112.7457	
1015	11	0.0089	1	111.9999	
2021	54	0.0090	1	111.2499	
2014	13	0.0090	1	110.9999	
2019	1027	0.0091	1	110.0000	
1024	49	0.0092	1	108.7503	
2019	1019	0.0092	1	108.7456	
1020	49	0.0092	1	108.5001	
1019	49	0.0092	1	108.4183	
2025	1007	0.0092	2	216.3693	
2009	10	0.0095	2	211.4954	
2034	10	0.0097	1	103.2501	
1020	51	0.0097	1	103.0000	
2026	2010	0.0098	1	102.2502	
2024	2011	0.0101	2	198.8750	
2020	53	0.0101	1	99.0000	
2011	1007	0.0104	2	191.9959	
2033	2028	0.0104	2	191.6255	
2024	11	0.0106	1	94.2501	
1022	1009	0.0107	1	93.2465	
2028	1012	0.0110	1	90.6980	
2015	1030	0.0113	2	177.5000	
1013	11	0.0113	2	177.0848	
2006	1009	0.0114	1	87.6965	
1034	13	0.0114	1	87.4197	
2020	52	0.0115	1	87.0000	
2022	2015	0.0118	1	84.9967	
2009	1009	0.0118	2	169.9362	
2028	1029	0.0123	4	325.3086	
2007	12	0.0127	3	236.3337	
2013	1028	0.0128	2	155.7486	
1022	1002	0.0129	1	77.2500	
2025	1033	0.0130	2	153.8731	
2025	2006	0.0137	1	72.9958	
1023	10	0.0140	1	71.2499	
2025	1035	0.0144	2	138.9978	
2011	58	0.0148	2	134.7351	
2035	2010	0.0153	1	65.2500	
1023	1014	0.0154	1	64.7502	
2022	1010	0.0154	1	64.7501	
2016	1011	0.0155	2	129.0001	
2001	1025	0.0157	2	127.6235	
2010	12	0.0157	1	63.7503	
1035	53	0.0157	2	130.0000	
2029	1016	0.0161	3	186.0790	
2028	1022	0.0162	2	123.3749	
2030	2017	0.0163	1	61.5002	
53	11	0.0165	2	129.9417	
1016	52	0.0172	3	185.0824	
1031	13	0.0175	1	57.1673	
2030	2028	0.0175	3	171.0827	
2029	2006	0.0179	2	111.9622	
1013	1003	0.0183	3	164.0820	
2017	2013	0.0184	3	163.0001	
52	18	0.0186	2	107.3196	
2032	1027	0.0188	2	106.3606	
1022	26	0.0189	2	105.6229	
2029	1030	0.0191	3	156.7485	
1024	26	0.0193	2	103.8750	
2009	1005	0.0193	3	155.2458	
2005	1002	0.0198	3	151.3324	
2028	2005	0.0200	2	100.0001	
2034	2005	0.0203	2	98.6808	
1018	13	0.0207	2	96.7432	
1007	13	0.0209	4	191.6234	
2028	2015	0.0212	4	188.6851	
1011	53	0.0214	3	140.5834	
2006	58	0.0216	1	46.2465	
1007	1003	0.0225	4	177.9983	
1028	1016	0.0226	3	132.8284	
2007	1028	0.0228	4	175.4367	
1023	53	0.0232	2	86.2348	
2019	2015	0.0233	3	128.7490	
2030	1010	0.0233	3	128.6621	
2021	1028	0.0235	4	170.2494	
1002	50	0.0237	1	42.2500	
2013	50	0.0237	2	84.5000	
2011	50	0.0240	3	124.9921	
2028	2016	0.0241	3	124.5823	
2014	2007	0.0241	3	124.6404	
2011	1023	0.0241	3	124.8332	
2005	1023	0.0242	3	124.4166	
2025	1028	0.0242	4	164.9995	
1028	1013	0.0248	4	161.4362	
2009	50	0.0248	3	120.9127	
2011	1002	0.0253	4	158.0597	
2017	10	0.0256	2	77.9984	
2010	1005	0.0263	2	76.0697	
2003	1020	0.0264	3	113.5833	
1030	1014	0.0266	4	150.5591	
1015	1006	0.0272	1	36.7459	
2016	2015	0.0283	2	74.4958	
2014	1025	0.0284	3	105.7498	
2030	17	0.0290	3	103.4153	
1016	51	0.0292	6	205.8130	
1002	58	0.0303	1	33.0000	
2025	1015	0.0311	4	133.1868	
2022	2001	0.0342	3	91.3239	
2024	1029	0.0344	11	320.1132	
2025	17	0.0349	7	200.3186	
2013	13	0.0356	5	148.2487	
2022	2007	0.0357	6	168.2918	
2027	1012	0.0359	3	83.6666	
1024	1013	0.0367	6	163.7040	
2009	1011	0.0369	7	189.5001	
1020	1007	0.0376	7	186.1062	
2019	1028	0.0380	4	105.4375	
2027	53	0.0384	4	104.1164	
1001	17	0.0389	5	128.3768	
1019	1003	0.0392	3	76.5833	
2033	12	0.0392	8	203.9785	
1013	13	0.0396	4	101.3711	
2029	1002	0.0406	6	147.9572	
1003	17	0.0410	3	73.1511	
1023	26	0.0414	3	73.2501	
2021	2006	0.0421	5	118.6437	
2009	1013	0.0422	6	144.8322	
2035	2023	0.0432	2	46.3525	
2035	1022	0.0440	5	113.7501	
2007	1029	0.0457	9	197.2197	
1008	17	0.0470	4	85.1168	
2006	1016	0.0475	2	42.1104	
2032	1026	0.0488	1	20.5000	
1033	1011	0.0493	5	101.6494	
2027	1032	0.0494	5	101.1459	
2010	11	0.0503	2	39.7480	
2005	53	0.0515	3	58.4128	
1003	50	0.0516	4	77.6027	
1015	53	0.0522	8	154.0938	
2029	53	0.0540	3	55.5617	
2016	1007	0.0544	5	93.0464	
1013	18	0.0550	5	92.6280	
1035	1027	0.0551	3	55.8750	
2015	1035	0.0558	10	179.3916	
1006	51	0.0564	9	159.5831	
1002	49	0.0568	6	105.7441	
2006	49	0.0570	4	87.0582	
2033	11	0.0575	14	243.8428	
1007	53	0.0580	5	86.2476	
1030	1016	0.0592	3	50.6620	
2021	2016	0.0593	2	33.7482	
1027	52	0.0604	10	165.5142	
1025	1011	0.0606	3	85.9133	
1027	1009	0.0611	7	114.5704	
1011	11	0.0623	8	128.4646	
1016	12	0.0655	5	76.3986	
2034	1025	0.0673	8	119.0570	
2014	1030	0.0680	10	147.3701	
1014	52	0.0681	3	44.2369	
2019	1020	0.0694	7	100.9607	
1033	1016	0.0694	4	57.7399	
2014	1006	0.0708	2	28.2348	
2035	1035	0.0748	12	160.4564	
1008	1006	0.0774	8	103.3713	
2009	11	0.0780	19	243.8184	
1002	17	0.0798	8	100.4014	
2012	1014	0.0800	1	12.5000	
1014	18	0.0812	9	110.8826	
2015	52	0.0817	7	87.4985	
2021	58	0.0844	11	130.5165	
2007	17	0.0875	9	103.4921	
2015	11	0.0879	21	238.8531	
2034	1022	0.0893	11	123.4019	
1007	1001	0.0898	7	77.9626	
1009	51	0.0905	15	165.6984	
2028	1013	0.0913	18	197.1075	
2010	2009	0.0920	8	88.0301	
2015	1010	0.0936	12	128.7913	
51	13	0.0954	13	136.2075	
1011	17	0.0971	7	73.2048	
2010	17	0.0976	2	20.4941	
2011	2001	0.1013	4	39.5609	
1028	1001	0.1015	11	108.5115	
2025	2020	0.1016	19	187.0626	
2015	2003	0.1047	12	114.6517	
1002	10	0.1075	9	83.9157	
2033	1010	0.1102	15	136.3960	
1020	1014	0.1122	4	35.6597	
2014	12	0.1130	17	150.8059	
2025	1008	0.1152	9	78.2095	
1026	1023	0.1154	7	60.6768	
1016	13	0.1179	4	34.1834	
2008	49	0.1220	7	57.4972	
2010	1028	0.1236	20	162.0690	
2012	52	0.1266	3	23.7436	
1022	50	0.1301	12	92.3684	
2033	1023	0.1303	22	169.3009	
1010	51	0.1306	15	114.8615	
2011	53	0.1307	8	63.1823	
2017	1010	0.1309	7	53.4960	
1031	1020	0.1322	9	68.5500	
1034	51	0.1332	17	127.6901	
2022	1029	0.1337	17	127.1587	
1021	1014	0.1338	20	150.0009	
2035	2013	0.1350	11	81.5198	
2035	17	0.1365	11	80.6350	
2015	17	0.1387	16	115.3553	
2015	2007	0.1400	11	87.2471	
2018	2015	0.1403	16	114.0749	
1008	51	0.1426	15	105.2215	
2011	54	0.1559	16	102.7556	
2020	49	0.1613	13	84.3829	
2034	1029	0.1630	20	122.7219	
17	11	0.1677	16	101.2017	
1021	13	0.1706	25	146.6838	
1023	51	0.1727	25	145.2345	
2021	50	0.1752	20	115.1706	
2029	2010	0.1762	12	68.8234	
2030	1023	0.1792	28	156.5067	
2014	1011	0.1840	27	147.0123	
2031	11	0.1872	20	106.8719	
1003	52	0.1895	24	126.8991	
2015	10	0.1898	21	110.6641	
2009	1030	0.1925	33	171.5705	
1027	50	0.1965	12	61.1398	
2013	17	0.1993	20	102.6448	
2028	2022	0.1997	15	77.6289	
2022	2013	0.2001	32	159.9633	
2009	1023	0.2011	34	169.4340	
2030	2016	0.2013	11	56.9754	
2030	10	0.2034	21	103.5792	
1031	1011	0.2039	5	24.5356	
2022	2012	0.2142	9	42.0245	
1026	12	0.2178	10	48.5600	
1030	52	0.2212	34	153.9025	
2028	2013	0.2225	25	119.3485	
1018	1009	0.2279	27	118.6155	
2011	2010	0.2294	16	70.0546	
