Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
1013	54	0.0039	1	256.5001	
2033	1033	0.0041	1	246.5005	
2009	1009	0.0041	1	243.9999	
2011	1007	0.0042	1	235.7503	
1029	1012	0.0046	1	216.4741	
1029	1018	0.0046	1	215.4957	
2008	12	0.0048	1	209.7212	
54	13	0.0051	1	196.5004	
2030	1005	0.0052	1	193.2504	
2012	1029	0.0052	1	192.2461	
2010	1013	0.0053	1	188.7500	
2024	1007	0.0053	1	187.7499	
1015	53	0.0055	1	183.2503	
2008	1025	0.0057	1	174.0000	
1011	1010	0.0058	1	171.2497	
2024	2015	0.0058	1	170.9997	
1015	49	0.0060	1	167.7501	
2021	1014	0.0061	1	165.2503	
2024	2009	0.0061	1	163.2466	
1016	52	0.0063	1	158.4954	
2010	2009	0.0063	1	157.9963	
1024	1013	0.0067	1	149.2499	
2014	1005	0.0068	1	147.9999	
2014	1008	0.0073	1	137.7500	
1012	1007	0.0075	1	132.7497	
2011	17	0.0076	1	131.9956	
2007	17	0.0078	2	258.7356	
2009	1033	0.0078	2	256.1254	
2030	2005	0.0079	1	126.7499	
2010	26	0.0079	1	126.2498	
2009	1028	0.0080	2	251.2443	
2033	2021	0.0080	1	124.6848	
1033	1031	0.0086	1	115.6779	
2032	1014	0.0099	1	101.2501	
2016	2008	0.0102	1	98.2501	
2035	2025	0.0102	1	97.9958	
1015	1003	0.0102	1	97.7500	
2020	1028	0.0103	1	96.9998	
1005	49	0.0108	1	93.0000	
1021	18	0.0109	1	91.3912	
2035	2010	0.0112	1	88.9969	
2033	1025	0.0113	2	177.7482	
1033	1018	0.0123	2	161.9980	
1035	1005	0.0124	1	80.7500	
2015	2006	0.0125	1	80.2500	
2022	2009	0.0127	2	158.0001	
1030	1025	0.0131	1	76.5001	
2011	1009	0.0131	3	228.6638	
1020	1008	0.0132	2	152.1248	
1035	1025	0.0132	1	76.0000	
2009	1010	0.0133	2	155.9999	
2026	2010	0.0133	1	75.2500	
2007	1006	0.0134	2	149.9509	
2011	50	0.0139	2	144.1233	
1035	1001	0.0139	1	71.7039	
2012	1011	0.0141	3	212.7491	
2033	17	0.0142	3	212.0839	
2014	2013	0.0142	2	140.4906	
2008	17	0.0142	3	210.5834	
1005	26	0.0148	2	134.9999	
2013	13	0.0153	2	130.6191	
1027	50	0.0155	1	64.4999	
1029	1003	0.0155	1	64.4999	
1003	10	0.0159	1	62.9968	
2007	1008	0.0163	4	246.4856	
2028	2013	0.0163	3	185.3319	
2018	49	0.0164	2	122.3750	
2016	2011	0.0165	1	60.6504	
