Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
2006	1011	0.0041	1	242.2370	
2024	1029	0.0042	1	235.4999	
1024	1011	0.0044	1	228.7468	
2030	1021	0.0047	1	212.5002	
2006	1016	0.0051	1	194.5000	
2013	1029	0.0052	1	193.4958	
2013	13	0.0052	1	192.5001	
2028	1011	0.0053	1	188.9998	
1024	1016	0.0055	1	183.2502	
2013	1008	0.0055	1	182.9960	
1005	51	0.0056	1	177.7500	
2017	1007	0.0057	1	175.2499	
2016	1029	0.0058	1	171.2503	
1030	53	0.0059	1	168.7502	
2024	17	0.0060	1	167.7500	
1007	11	0.0064	1	157.2466	
2013	2008	0.0066	1	150.4824	
2008	18	0.0068	1	146.2501	
1022	52	0.0071	1	140.0000	
2030	2005	0.0074	1	135.0001	
1025	1006	0.0077	2	260.8289	
1035	1007	0.0079	1	126.4997	
2028	13	0.0079	1	126.4967	
2016	1011	0.0079	1	125.9999	
1015	13	0.0085	1	118.2463	
2011	1022	0.0088	2	226.6216	
2007	2003	0.0089	2	223.8728	
2007	1029	0.0097	2	206.6230	
1006	1005	0.0098	1	102.2498	
2019	1027	0.0098	1	101.9969	
2013	1009	0.0103	2	194.7480	
2013	1024	0.0109	2	183.9590	
2022	1013	0.0112	2	179.2502	
2007	1010	0.0114	2	175.9983	
2031	2027	0.0115	1	87.1721	
2022	1007	0.0116	2	172.6249	
50	12	0.0117	2	171.2500	
2016	2005	0.0118	1	84.4100	
2016	1024	0.0119	2	171.9863	
2023	2014	0.0120	1	83.4717	
2011	1009	0.0121	2	165.4999	
2010	1001	0.0121	1	82.5000	
1022	17	0.0123	1	80.9998	
2012	1027	0.0125	1	80.2484	
2003	17	0.0126	2	158.6233	
2021	10	0.0126	3	237.7491	
1007	13	0.0128	2	156.4979	
1034	51	0.0129	2	154.9985	
2029	1034	0.0131	2	153.1251	
1020	1003	0.0136	1	73.7500	
2024	53	0.0136	1	73.4956	
2013	54	0.0137	1	73.2144	
1016	54	0.0137	2	145.9835	
2025	1011	0.0137	3	262.2489	
