Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
2024	1029	0.0028	1	359.5001	
2006	1015	0.0030	1	337.5001	
2009	1003	0.0039	1	254.0004	
2029	1016	0.0042	1	237.2506	
2028	1016	0.0042	1	236.7506	
2008	1015	0.0043	1	229.9393	
2009	1006	0.0048	1	208.2467	
2010	12	0.0049	1	204.7500	
2022	10	0.0052	1	191.7500	
1033	1002	0.0053	1	189.9968	
2028	17	0.0053	1	189.1966	
2024	1013	0.0056	1	176.9999	
1033	52	0.0057	1	176.7501	
2010	2006	0.0057	1	176.0001	
2028	18	0.0059	1	169.0001	
2029	12	0.0059	1	168.7499	
2017	2013	0.0060	1	165.7501	
2015	1013	0.0062	1	161.7502	
53	18	0.0063	1	158.7459	
1030	1028	0.0063	1	157.7455	
2025	1018	0.0064	1	156.0001	
1027	49	0.0066	1	152.0001	
1006	26	0.0067	1	149.5000	
2030	49	0.0068	1	147.7465	
1020	51	0.0068	1	146.7500	
1030	13	0.0068	1	146.4966	
1028	52	0.0070	1	143.5000	
2025	1003	0.0072	1	138.7501	
2016	1011	0.0072	1	138.4966	
2013	1015	0.0073	2	274.7480	
2011	1006	0.0075	2	267.8734	
1027	51	0.0075	1	133.2466	
1008	49	0.0076	1	132.2468	
2007	2001	0.0076	1	132.0002	
2014	1007	0.0076	1	131.5000	
1005	53	0.0077	1	130.2499	
2016	1024	0.0077	1	129.5001	
1013	51	0.0079	1	126.5000	
2006	1011	0.0079	1	126.4998	
2011	1016	0.0080	1	125.0001	
2019	1020	0.0081	1	123.5001	
1013	50	0.0083	1	121.0000	
1021	1014	0.0088	1	114.2499	
2027	13	0.0088	1	113.3948	
1030	1013	0.0089	1	111.7497	
2020	2015	0.0090	1	111.2500	
2015	2005	0.0090	1	111.0000	
2024	2014	0.0091	1	109.7500	
2025	2020	0.0093	1	106.9968	
1010	1006	0.0094	2	212.6248	
2007	11	0.0097	2	213.1228	
2022	2007	0.0098	2	208.6250	
2003	2001	0.0101	1	99.0000	
2005	12	0.0101	2	197.3751	
54	12	0.0102	2	196.9978	
1016	1002	0.0102	1	97.7499	
50	12	0.0103	2	193.7502	
2007	1024	0.0109	2	183.7438	
1011	18	0.0109	1	91.7466	
1002	18	0.0110	2	181.6250	
1029	1001	0.0113	1	88.7500	
1017	1011	0.0113	2	177.6249	
