Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
2016	1025	0.0041	1	244.5003	
2013	1029	0.0051	1	197.2500	
2009	1011	0.0051	1	195.9549	
2024	1013	0.0052	1	194.0000	
2029	2016	0.0053	1	188.2500	
1017	13	0.0057	1	175.7499	
2025	1035	0.0057	1	174.0001	
1014	1009	0.0061	1	163.0004	
2009	50	0.0062	1	161.8924	
1009	13	0.0062	1	161.5003	
2030	1013	0.0063	1	157.7499	
2029	1013	0.0065	1	153.9998	
1025	1019	0.0066	1	151.2502	
2006	1016	0.0066	1	151.2454	
1032	51	0.0066	1	150.7500	
2034	13	0.0066	1	150.7471	
2030	12	0.0066	1	150.4968	
2012	1011	0.0067	1	149.5002	
2018	1031	0.0067	1	148.7496	
1021	51	0.0069	1	145.6979	
1019	1010	0.0069	1	144.7501	
2015	12	0.0070	1	142.7500	
2013	12	0.0070	1	142.7500	
1026	49	0.0071	1	140.7500	
2027	2009	0.0072	1	139.0001	
26	18	0.0072	1	138.5000	
1026	18	0.0075	1	133.9998	
2011	54	0.0076	1	131.9997	
54	50	0.0076	1	131.9873	
1014	1011	0.0078	1	127.9788	
2027	1031	0.0079	1	127.2496	
1007	11	0.0079	1	125.9999	
2018	2015	0.0080	1	124.4959	
2032	12	0.0085	1	116.9999	
2010	1030	0.0088	1	113.5001	
18	11	0.0089	1	112.7500	
1030	1005	0.0090	1	111.4999	
1013	50	0.0095	1	104.7498	
2012	1007	0.0098	1	102.2501	
2009	1010	0.0098	1	101.7500	
2035	2015	0.0099	1	100.7390	
2003	1020	0.0101	1	99.4966	
2011	52	0.0105	1	95.6814	
2009	1029	0.0105	2	191.3706	
2007	1030	0.0105	2	207.0003	
2025	1026	0.0108	1	92.7501	
2018	1001	0.0115	2	174.1247	
51	18	0.0117	2	170.8750	
1015	1014	0.0124	2	161.3731	
1009	50	0.0125	2	161.4945	
2013	26	0.0127	1	78.7501	
2030	49	0.0131	2	171.8268	
2029	12	0.0134	2	149.3750	
2011	1010	0.0134	1	74.4723	
2005	58	0.0140	2	142.9461	
1012	51	0.0143	2	141.1231	
1034	1015	0.0143	1	69.7499	
2027	1026	0.0144	1	69.5000	
1032	10	0.0148	1	67.4883	
2007	1025	0.0150	3	199.5609	
1027	1008	0.0154	2	130.3728	
2015	2003	0.0157	2	127.6234	
1009	53	0.0166	3	180.4169	
1007	53	0.0167	3	179.2503	
2026	1010	0.0173	2	115.6250	
53	52	0.0174	1	57.5000	
2019	2014	0.0175	1	57.2501	
2035	1016	0.0181	1	55.2172	
2014	1016	0.0183	1	54.7500	
2003	12	0.0184	2	108.9966	
2002	1014	0.0187	1	53.5001	
2023	2022	0.0188	1	53.2500	
2027	2021	0.0190	3	158.5000	
2028	2007	0.0192	3	155.9158	
2021	1014	0.0197	2	101.7484	
2029	2023	0.0199	1	50.2468	
2030	50	0.0200	3	149.9739	
2029	13	0.0209	3	143.9167	
2016	2005	0.0210	2	95.2431	
2024	58	0.0210	2	95.2442	
1022	50	0.0215	2	92.8749	
1016	53	0.0216	1	46.2343	
1016	1005	0.0216	1	46.2243	
2014	1035	0.0216	1	46.2172	
1005	13	0.0217	2	92.1248	
58	18	0.0220	1	45.4999	
2020	1003	0.0225	2	88.9979	
2012	1013	0.0226	3	132.8324	
2027	2013	0.0231	3	130.0001	
2018	2002	0.0234	1	42.7499	
2025	1017	0.0235	1	42.4999	
2029	2013	0.0237	1	42.2500	
2032	58	0.0238	1	42.0000	
2002	26	0.0242	1	41.2500	
2022	2001	0.0242	2	82.4980	
2024	10	0.0245	2	81.8750	
2005	52	0.0248	3	121.1665	
1010	50	0.0258	4	155.1170	
2028	1007	0.0262	5	191.5773	
1014	1007	0.0263	3	113.9154	
2025	2009	0.0267	3	112.5000	
2026	54	0.0270	1	36.9727	
1033	50	0.0271	4	148.2860	
2021	13	0.0280	3	106.9985	
1013	51	0.0288	6	215.3656	
1001	17	0.0289	3	103.8330	
1029	1006	0.0299	3	100.3212	
1026	1007	0.0309	5	161.6970	
1026	13	0.0315	1	31.7501	
2031	2027	0.0319	3	93.9152	
2034	1025	0.0320	4	125.1878	
2024	2019	0.0321	3	93.3335	
1023	11	0.0345	1	28.9999	
54	12	0.0361	6	165.9990	
1016	52	0.0371	2	53.9449	
2008	10	0.0376	5	133.1494	
58	53	0.0385	1	25.9968	
1006	1005	0.0390	3	77.3322	
2021	52	0.0408	4	97.9355	
1002	50	0.0410	2	49.1175	
2020	1019	0.0427	5	126.3996	
2016	1011	0.0441	4	91.2352	
