Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
2007	1033	0.0043	1	234.7364	
2010	1011	0.0044	1	229.7469	
2033	1033	0.0044	1	225.7503	
2015	12	0.0046	1	219.4970	
2024	1013	0.0052	1	193.2459	
2029	1012	0.0053	1	189.7497	
2028	17	0.0056	1	178.7501	
2011	1010	0.0056	1	178.2498	
1022	1013	0.0057	1	175.2498	
1015	13	0.0058	1	172.9874	
2029	12	0.0058	1	171.9998	
2006	13	0.0059	1	168.4871	
2020	2007	0.0061	1	165.2472	
2015	10	0.0061	1	162.7500	
2015	58	0.0063	1	159.2502	
2030	58	0.0063	1	158.0001	
1015	58	0.0064	1	155.9999	
1030	10	0.0067	1	148.4967	
2035	1011	0.0068	1	147.5002	
2021	18	0.0071	1	141.2500	
2003	1029	0.0071	1	140.4999	
1031	10	0.0072	1	139.4956	
2025	2012	0.0074	1	134.5002	
2005	1033	0.0076	1	130.7323	
2021	2012	0.0078	1	127.8775	
2005	50	0.0078	1	127.4956	
2015	1013	0.0080	1	125.2500	
2033	2021	0.0083	1	120.2499	
2008	1008	0.0085	1	117.9712	
2009	1033	0.0087	2	228.6228	
2030	12	0.0091	2	218.9985	
2033	1007	0.0092	2	218.4986	
2035	1009	0.0095	2	210.2501	
2010	1021	0.0096	2	210.6249	
2010	26	0.0096	1	103.7454	
2011	1028	0.0098	2	204.5000	
2013	13	0.0099	1	100.7499	
1023	13	0.0100	1	99.7502	
1015	54	0.0101	2	198.1235	
2028	1011	0.0103	2	194.2501	
1015	52	0.0107	2	186.8750	
1028	18	0.0108	1	92.7388	
2021	1007	0.0111	2	183.6250	
1008	18	0.0114	1	87.4955	
2035	2013	0.0115	1	87.2468	
1028	17	0.0118	2	170.1186	
2028	1035	0.0119	1	84.0001	
1019	1011	0.0120	2	166.4978	
1033	58	0.0122	2	163.8714	
2026	1025	0.0124	2	161.9899	
2015	1012	0.0128	3	234.6668	
1022	1018	0.0129	1	77.5000	
1010	18	0.0129	1	77.4999	
53	13	0.0132	1	75.4849	
2019	2015	0.0134	2	148.7257	
2011	1016	0.0138	2	145.3733	
2025	2024	0.0138	1	72.4969	
2023	1014	0.0140	1	71.2000	
1011	50	0.0142	2	143.5002	
2005	26	0.0143	2	140.3245	
2025	1014	0.0145	2	137.7485	
1028	52	0.0145	2	137.7029	
1035	1005	0.0146	2	136.6248	
2008	1010	0.0147	1	68.0001	
1034	1028	0.0148	2	135.2417	
1016	1008	0.0148	1	67.4482	
2019	49	0.0159	1	62.9969	
2007	1006	0.0159	2	151.2197	
2029	58	0.0160	2	125.0000	
2029	1015	0.0167	3	179.7484	
1016	52	0.0168	2	121.8727	
2016	1021	0.0172	2	116.5000	
2033	2003	0.0175	3	171.7449	
1034	1020	0.0176	2	113.8713	
2015	1015	0.0178	4	224.9323	
2025	1009	0.0179	3	167.6293	
2030	1009	0.0182	4	220.1252	
2024	2011	0.0182	2	110.1205	
49	13	0.0183	1	54.7500	
1006	49	0.0183	2	109.3747	
2011	2003	0.0200	2	100.2501	
1025	18	0.0202	2	100.9809	
2011	1027	0.0202	4	197.8107	
2016	1006	0.0212	2	94.3750	
2011	52	0.0215	2	93.0868	
1013	18	0.0216	2	94.9998	
1015	11	0.0217	3	144.8883	
2029	2001	0.0218	2	91.7501	
2012	2011	0.0219	3	137.2472	
2034	2025	0.0223	2	89.8753	
2025	1028	0.0224	1	44.6468	
1035	1025	0.0224	3	133.9081	
2029	2014	0.0225	3	133.6628	
2010	17	0.0227	4	176.3707	
2021	1033	0.0229	4	176.0604	
2033	50	0.0233	2	88.5691	
1016	1005	0.0234	2	88.8750	
1007	54	0.0258	5	194.0452	
1012	13	0.0258	2	120.4955	
1014	54	0.0265	1	37.7500	
2014	12	0.0267	2	78.3520	
1009	50	0.0270	4	148.2463	
2035	2023	0.0272	2	77.1232	
2007	17	0.0273	5	182.9474	
2033	17	0.0281	5	177.8496	
1033	11	0.0282	5	177.7988	
2012	2009	0.0283	4	141.7934	
1028	49	0.0292	3	102.8334	
1031	1027	0.0301	3	99.6667	
2023	1026	0.0303	2	66.0000	
2015	1033	0.0304	7	230.0693	
52	26	0.0305	1	32.7499	
2030	10	0.0307	5	163.0880	
2028	1007	0.0316	6	189.9800	
2034	2010	0.0319	2	62.7502	
2009	1007	0.0319	7	219.6333	
2007	52	0.0326	5	156.7907	
2013	1033	0.0340	5	147.0829	
2008	52	0.0340	3	88.1656	
2016	2015	0.0341	2	58.6252	
2028	2007	0.0348	7	201.2144	
2022	2009	0.0360	3	83.5000	
2032	51	0.0367	2	54.4636	
2021	1016	0.0371	3	80.8319	
2033	1014	0.0374	1	26.7500	
2007	1016	0.0379	4	105.8716	
2005	1015	0.0385	5	130.0464	
1008	11	0.0391	5	127.9979	
1006	1005	0.0396	5	127.4475	
2015	1007	0.0404	9	222.8301	
2028	1010	0.0415	7	168.8206	
2022	2003	0.0417	1	24.0000	
2028	53	0.0420	6	142.9377	
1029	1012	0.0430	6	139.9784	
1021	52	0.0440	6	137.7070	
1025	1015	0.0452	5	110.5990	
2025	26	0.0459	5	108.9993	
2025	2007	0.0462	4	95.9964	
2013	26	0.0468	5	108.6901	
2030	1012	0.0474	11	232.2949	
1028	1001	0.0477	6	125.7332	
2025	1011	0.0483	11	231.9765	
2026	1023	0.0509	3	59.3211	
2028	1013	0.0511	10	195.8423	
1013	54	0.0517	6	116.2062	
1025	1007	0.0518	6	115.8732	
2035	12	0.0522	7	187.1049	
1029	1016	0.0523	4	76.6229	
2014	2010	0.0535	6	113.0834	
2023	11	0.0545	4	73.9966	
1002	18	0.0551	5	90.7965	
2015	2006	0.0565	5	88.4904	
2021	2009	0.0570	7	122.7462	
2016	1005	0.0574	6	106.0829	
2033	1025	0.0603	10	166.0417	
1015	18	0.0618	2	32.3662	
1033	1019	0.0667	1	15.0000	
2035	1010	0.0676	5	73.9990	
2035	1002	0.0690	4	58.0524	
2034	2024	0.0702	6	85.6243	
2007	2005	0.0704	4	57.0617	
2003	2001	0.0720	9	125.0708	
2029	1013	0.0725	6	118.0826	
1010	1009	0.0726	6	82.7078	
1006	13	0.0756	3	39.7500	
2016	2008	0.0757	4	52.8478	
2030	1015	0.0757	17	224.5253	
2013	12	0.0761	10	131.4815	
2035	17	0.0769	8	124.7743	
2033	2024	0.0770	13	169.0565	
2007	50	0.0785	7	89.6104	
1028	26	0.0793	7	88.2827	
1012	50	0.0795	10	143.5738	
2016	1016	0.0812	5	61.6501	
1022	1007	0.0815	14	171.7640	
2012	2001	0.0818	9	110.0264	
2028	1020	0.0855	7	82.1780	
2025	1035	0.0861	12	144.2888	
2007	1025	0.0883	15	169.8811	
2029	17	0.0885	14	161.8347	
2013	2006	0.0925	8	86.5214	
1009	1005	0.0953	12	126.0258	
1011	1010	0.0964	8	88.4326	
1013	58	0.0991	10	101.5726	
1021	51	0.1025	16	156.9766	
2033	2008	0.1030	11	107.0502	
2016	1029	0.1051	14	133.7473	
2009	17	0.1064	19	178.7348	
2025	2014	0.1078	13	120.9784	
2029	1010	0.1079	10	98.4472	
2015	50	0.1079	9	83.6934	
2035	1028	0.1102	7	63.5353	
2028	1032	0.1110	11	99.3030	
2017	52	0.1114	8	71.8306	
2008	2006	0.1130	12	106.2625	
1005	13	0.1136	11	96.7929	
2006	49	0.1176	8	76.0303	
2022	1023	0.1189	10	84.0958	
2024	2006	0.1200	18	150.2588	
2023	26	0.1219	9	73.9387	
2014	2006	0.1222	3	24.6349	
1023	58	0.1230	9	73.3986	
51	26	0.1234	4	32.4347	
2003	53	0.1278	17	133.4244	
1035	1009	0.1282	13	101.8051	
2035	2005	0.1285	12	93.5151	
1031	1028	0.1290	13	101.7385	
1035	51	0.1292	13	160.2874	
2025	2003	0.1298	11	84.9085	
1022	17	0.1306	9	69.2987	
1030	1027	0.1328	15	112.9487	
1029	51	0.1329	20	151.0180	
2007	1011	0.1376	23	171.5206	
2009	50	0.1388	11	79.4529	
1011	49	0.1393	18	130.4022	
1009	26	0.1412	21	148.7693	
2008	53	0.1437	10	70.5642	
2014	10	0.1440	8	68.1851	
2010	50	0.1485	18	121.2287	
2013	2009	0.1527	10	77.9397	
2024	12	0.1530	13	85.0172	
1033	54	0.1599	32	200.1856	
51	13	0.1618	16	99.3117	
2035	1015	0.1629	35	214.9268	
1016	49	0.1650	16	97.2265	
2015	17	0.1654	30	181.3868	
58	17	0.1665	12	72.1206	
1035	49	0.1710	19	157.8230	
1021	49	0.1718	18	106.8272	
1015	50	0.1728	27	156.7393	
1009	51	0.1737	32	184.2642	
2027	26	0.1787	15	83.9439	
2011	10	0.1796	36	210.5347	
2035	1029	0.1846	25	135.4732	
1007	1005	0.1869	24	128.5894	
2013	1006	0.1941	16	82.7323	
49	11	0.1981	17	86.1889	
2030	1033	0.1990	45	226.1183	
1011	52	0.2061	29	141.6182	
2030	2005	0.2174	21	96.6404	
2035	1033	0.2238	49	218.9961	
2028	2001	0.2247	30	133.5687	
1020	10	0.2250	13	57.8824	
2029	1033	0.2268	41	180.8497	
2029	1007	0.2285	40	175.1171	
1035	1003	0.2372	14	62.6530	
1030	1028	0.2377	29	122.1052	
1029	52	0.2406	34	141.5491	
1023	18	0.2509	26	103.7228	
52	17	0.2522	29	124.5840	
2010	2008	0.2542	13	51.3936	
2010	10	0.2562	20	82.0494	
2018	50	0.2632	13	50.9705	
2027	2009	0.2686	38	142.1876	
