Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
2027	1007	0.0033	1	307.2499	
2013	1014	0.0033	1	299.5003	
2007	18	0.0037	1	271.7505	
1029	50	0.0037	1	271.2499	
2013	18	0.0038	1	260.2500	
1028	1006	0.0041	1	245.7370	
2003	1009	0.0042	1	236.0004	
1010	54	0.0043	1	233.7471	
1022	49	0.0043	1	230.7503	
2034	1009	0.0044	1	229.0001	
2024	1005	0.0044	1	226.7500	
1009	54	0.0045	1	220.5002	
2035	1012	0.0046	1	218.5005	
2021	1030	0.0047	1	212.9890	
2033	10	0.0048	1	207.2470	
1022	1011	0.0049	1	203.7501	
2022	1007	0.0049	1	203.7500	
2009	10	0.0049	1	203.2502	
2027	1024	0.0050	1	202.0001	
2007	1024	0.0050	1	200.4999	
2012	10	0.0050	1	198.5005	
2018	53	0.0051	1	197.2471	
2020	1007	0.0051	1	195.7387	
1031	1025	0.0053	1	187.7500	
1019	1009	0.0054	1	185.5001	
2024	1015	0.0054	1	184.9958	
2017	2007	0.0054	1	183.7499	
2030	11	0.0056	1	179.7508	
1015	1014	0.0056	1	179.7506	
1016	1012	0.0056	1	179.4966	
54	11	0.0056	1	178.7501	
1030	58	0.0056	1	178.0007	
2026	1007	0.0056	1	177.7504	
1026	1009	0.0057	1	174.7507	
1022	1013	0.0058	1	173.5000	
1006	49	0.0058	1	172.7459	
1022	51	0.0059	1	168.7503	
1035	49	0.0060	1	165.7469	
1019	1007	0.0061	1	165.2500	
1021	52	0.0063	1	158.0003	
1024	1013	0.0065	1	154.9965	
2011	17	0.0066	1	151.2501	
2005	2002	0.0067	1	150.2502	
1024	51	0.0068	1	147.0003	
1002	13	0.0068	1	146.4967	
1034	1018	0.0073	1	136.4997	
2013	1030	0.0073	2	273.9982	
2011	1014	0.0075	1	132.4956	
1029	54	0.0076	2	264.7503	
2012	1015	0.0076	2	264.6145	
2013	2008	0.0077	2	261.2037	
2020	1003	0.0079	1	125.9999	
2002	50	0.0082	1	121.4531	
2027	1015	0.0083	2	242.0002	
1025	53	0.0084	1	118.7501	
2007	17	0.0085	1	117.7499	
2030	1012	0.0086	2	233.1253	
2035	1028	0.0087	1	115.5000	
1029	1028	0.0087	1	114.4999	
2028	58	0.0088	1	113.9966	
2022	2005	0.0088	2	227.4999	
50	17	0.0089	1	112.6965	
2007	1011	0.0089	2	224.5001	
2025	2024	0.0089	3	335.8768	
1028	17	0.0092	2	218.6238	
2007	1025	0.0092	2	218.6252	
2014	12	0.0093	2	215.3731	
2012	1021	0.0093	2	215.3709	
2012	18	0.0093	2	214.6171	
2005	10	0.0096	2	216.0002	
1034	1025	0.0098	1	102.5000	
2001	53	0.0099	1	101.2466	
2014	1032	0.0099	1	100.7458	
2022	1016	0.0101	2	197.1251	
2007	1022	0.0103	2	194.2500	
1017	1002	0.0104	1	96.5001	
2010	11	0.0107	1	93.4957	
1006	53	0.0109	2	182.9621	
1015	1012	0.0111	1	90.4955	
1035	54	0.0113	2	177.2487	
2009	1014	0.0113	1	88.2458	
2022	2007	0.0115	2	174.1227	
2035	1021	0.0116	2	172.7486	
2034	1030	0.0116	2	171.8753	
1030	1026	0.0119	2	167.5008	
2033	2025	0.0120	2	166.8717	
1022	1016	0.0124	3	244.6671	
2022	1013	0.0124	3	242.1624	
2012	1035	0.0125	3	240.1633	
1021	54	0.0128	2	156.5002	
1024	1012	0.0128	2	156.4469	
1031	1009	0.0134	1	74.7457	
1006	50	0.0135	1	74.2500	
2024	2005	0.0135	3	222.7367	
2029	1024	0.0136	1	73.6782	
1010	11	0.0136	1	73.4883	
2035	2002	0.0138	1	72.2501	
2035	1035	0.0144	3	209.7402	
2030	1013	0.0145	3	207.2502	
2029	1016	0.0146	3	206.0674	
1009	52	0.0146	3	205.8816	
2012	13	0.0147	3	204.5004	
26	17	0.0147	1	68.0002	
1007	52	0.0147	3	203.8276	
1019	49	0.0148	2	134.9999	
2030	54	0.0150	2	133.4965	
2012	17	0.0150	3	199.6661	
2007	12	0.0152	4	263.9982	
2021	12	0.0154	3	194.6206	
2005	1014	0.0156	2	128.3694	
2014	1021	0.0158	3	189.9156	
2032	52	0.0163	1	61.4968	
1021	26	0.0169	2	119.6235	
1007	58	0.0169	3	177.6657	
2025	17	0.0172	2	115.9985	
