Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
2011	1017	0.0046	1	216.2501	
2021	2003	0.0046	1	216.0001	
2034	53	0.0048	1	210.0002	
2017	2011	0.0049	1	205.9958	
1012	51	0.0049	1	204.5003	
2033	1013	0.0050	1	199.9971	
1022	1006	0.0051	1	197.9966	
2030	1013	0.0051	1	196.9961	
2030	11	0.0052	1	193.4966	
2016	1025	0.0055	1	182.0000	
2035	1029	0.0055	1	181.9995	
1006	51	0.0055	1	180.7499	
2016	1029	0.0056	1	179.9030	
2024	1007	0.0056	1	179.7501	
2007	1028	0.0056	1	178.9998	
2005	18	0.0056	1	177.7500	
2027	1010	0.0058	1	171.0001	
2006	52	0.0064	1	156.7497	
1011	53	0.0065	1	152.7455	
1021	52	0.0066	1	151.9999	
2010	1012	0.0070	1	142.5000	
1029	50	0.0071	1	140.6992	
1011	49	0.0074	1	135.7498	
1006	1005	0.0074	1	135.0001	
1009	1005	0.0077	1	129.7483	
2025	1035	0.0078	1	127.7501	
2019	2015	0.0080	1	124.2499	
2016	13	0.0083	1	120.5001	
1027	1001	0.0084	1	119.5000	
53	11	0.0085	1	117.7502	
2002	49	0.0085	1	117.5001	
1008	12	0.0086	1	116.2500	
1010	11	0.0087	1	115.2499	
2025	58	0.0087	1	114.9889	
1023	52	0.0089	1	112.7498	
2007	1009	0.0093	2	214.7482	
2005	1035	0.0094	2	212.2499	
2024	2011	0.0095	2	211.2259	
2034	54	0.0095	2	211.1176	
2021	50	0.0097	1	103.4999	
1020	51	0.0101	1	98.9968	
2035	1007	0.0102	2	196.3730	
1030	54	0.0103	2	194.3748	
1016	13	0.0110	1	91.0000	
2035	17	0.0110	2	182.3749	
2028	1007	0.0112	2	178.7469	
2007	51	0.0113	3	264.9991	
2015	1021	0.0115	2	173.8736	
2028	2016	0.0116	2	172.3750	
2009	1035	0.0117	2	170.9981	
1022	17	0.0120	1	83.4999	
2011	2006	0.0122	1	81.7500	
1018	13	0.0122	1	81.7500	
2013	1016	0.0122	1	81.6779	
2013	18	0.0123	2	162.8691	
2029	2016	0.0123	1	81.2011	
1013	51	0.0125	2	161.4984	
2034	1030	0.0125	2	161.8733	
2035	1008	0.0127	2	158.0742	
1031	1010	0.0128	2	156.4588	
2017	2010	0.0129	2	154.6250	
1002	49	0.0132	1	75.7500	
1029	1024	0.0143	1	69.7457	
2024	2012	0.0150	1	66.7500	
2016	2015	0.0155	2	129.3748	
2014	1010	0.0155	2	129.1251	
2013	1024	0.0155	3	193.2435	
1002	10	0.0156	1	64.0001	
1024	1013	0.0159	3	189.1635	
1016	1011	0.0178	2	112.1250	
2030	1021	0.0179	3	167.6629	
51	18	0.0180	3	166.4999	
54	11	0.0182	1	54.9999	
2009	49	0.0184	2	108.7477	
1025	1024	0.0188	1	53.2121	
2021	1008	0.0188	3	159.3322	
1013	1009	0.0191	2	104.8747	
2021	1007	0.0192	4	208.4355	
2015	1016	0.0200	3	150.2307	
2012	12	0.0200	1	49.9959	
1021	18	0.0201	2	99.9982	
2007	1035	0.0203	4	196.8742	
2024	2013	0.0207	3	144.7393	
2012	1012	0.0210	1	47.6619	
2022	2020	0.0212	1	47.2028	
2024	2016	0.0213	4	189.9938	
2025	1030	0.0215	3	140.1640	
1029	54	0.0216	4	184.7872	
2021	2016	0.0217	1	45.9999	
2031	2009	0.0223	2	89.6250	
2002	54	0.0224	2	89.5000	
2007	1015	0.0227	5	220.4497	
1029	1012	0.0228	3	131.7997	
1035	1013	0.0228	2	87.8614	
2027	2021	0.0235	5	213.2969	
1025	26	0.0236	3	127.2499	
2033	1011	0.0236	5	211.4994	
1017	1013	0.0237	4	169.1875	
2017	2013	0.0239	4	170.7492	
2019	1028	0.0242	2	82.6164	
1015	52	0.0254	5	197.3987	
2012	53	0.0256	1	38.9866	
2019	1026	0.0260	2	76.8728	
1021	51	0.0260	4	153.7499	
2020	10	0.0278	3	108.0820	
2011	1009	0.0284	5	176.3416	
2033	1005	0.0285	6	210.5671	
1022	1012	0.0287	2	69.6071	
2027	1025	0.0289	5	173.0468	
2009	13	0.0297	6	202.2785	
2028	1024	0.0305	1	32.7500	
2005	1015	0.0312	6	192.0819	
1021	49	0.0315	7	222.1056	
2008	53	0.0316	3	96.0769	
1033	1016	0.0320	3	93.9712	
2009	1015	0.0325	7	216.6050	
1024	1007	0.0327	5	153.0980	
2026	1012	0.0327	2	61.2365	
1030	1009	0.0330	2	60.6233	
2030	58	0.0334	5	150.1479	
2005	17	0.0336	5	149.0462	
2010	2008	0.0340	2	59.7436	
2010	50	0.0343	5	146.2987	
1025	11	0.0344	4	116.3733	
1008	51	0.0350	5	142.6938	
2035	52	0.0369	8	216.7486	
1025	1012	0.0372	5	134.5992	
2029	13	0.0373	5	134.0995	
1017	17	0.0375	3	79.9985	
2011	10	0.0397	6	151.2804	
2030	1005	0.0397	6	160.4427	
1022	1013	0.0423	8	189.2354	
2010	1016	0.0426	2	46.9983	
1010	54	0.0445	6	134.9088	
1028	1001	0.0451	6	133.1525	
1029	11	0.0458	6	131.0782	
1028	54	0.0458	6	130.9938	
1030	13	0.0464	2	43.6228	
2016	10	0.0465	5	107.7969	
2010	18	0.0476	5	105.1494	
2009	1033	0.0485	10	206.0659	
1023	51	0.0494	5	101.6218	
2022	2007	0.0501	9	180.1348	
2009	10	0.0504	8	158.6434	
1024	17	0.0511	4	78.5613	
2013	54	0.0511	5	103.8962	
2033	10	0.0522	11	212.2259	
2029	1005	0.0527	8	152.2165	
2033	1015	0.0532	12	225.9143	
2005	13	0.0541	10	184.8717	
2030	1012	0.0547	12	219.6864	
2027	2022	0.0548	3	71.4125	
2030	2020	0.0553	4	84.3472	
2033	13	0.0562	12	213.5393	
2012	10	0.0574	3	52.2976	
2024	11	0.0579	5	86.4326	
2026	54	0.0580	2	34.4985	
2033	18	0.0587	12	205.0412	
2015	1005	0.0598	12	200.8516	
2028	1025	0.0600	3	49.9828	
2013	1030	0.0612	7	114.3212	
1035	1007	0.0617	6	99.5395	
2035	1035	0.0628	9	143.4406	
2026	1020	0.0630	5	79.6994	
1029	49	0.0630	12	196.7236	
1025	1014	0.0634	8	126.1305	
49	26	0.0650	2	64.0711	
2013	1017	0.0655	12	183.2884	
2033	1008	0.0659	13	197.2870	
2022	2015	0.0664	5	75.6993	
1029	1006	0.0665	10	155.3945	
1021	1009	0.0671	7	104.2689	
1021	1016	0.0675	4	59.9311	
2032	1032	0.0678	1	14.7459	
2033	2025	0.0681	8	117.5512	
2030	2007	0.0683	15	240.1602	
2027	2002	0.0692	3	43.3740	
2027	1002	0.0712	4	57.6809	
2028	2007	0.0719	12	167.1777	
1021	1006	0.0734	8	109.0284	
1034	1010	0.0734	6	81.7800	
2035	2013	0.0740	8	108.0598	
2031	2020	0.0742	8	107.8742	
1033	52	0.0743	15	201.9307	
1020	52	0.0765	8	104.5912	
2007	1030	0.0773	16	207.5722	
2018	2008	0.0794	10	126.3221	
2010	1008	0.0813	6	73.8738	
2029	10	0.0813	10	123.0243	
1022	1007	0.0818	13	159.8586	
2035	1030	0.0834	14	169.6422	
2009	12	0.0834	16	193.2799	
1015	51	0.0835	16	191.7168	
1005	10	0.0885	12	136.3112	
1007	51	0.0898	17	194.4972	
1007	52	0.0902	17	199.8966	
1017	1007	0.0905	13	144.0176	
1006	10	0.0910	9	100.4848	
1015	18	0.0925	3	32.5000	
2009	1005	0.0940	19	202.2499	
2013	1022	0.0941	18	191.3027	
2024	2023	0.0941	6	63.7501	
2005	54	0.0942	9	95.6110	
2022	2018	0.0953	10	105.3132	
1035	51	0.0960	14	145.8918	
1007	13	0.0967	8	84.4633	
1018	1012	0.0984	3	30.4970	
1028	53	0.0995	13	130.7070	
2034	52	0.0997	22	220.6450	
1005	51	0.0999	13	139.3873	
1012	54	0.1012	6	59.3306	
2030	1009	0.1015	20	197.1109	
1006	49	0.1022	19	185.9708	
2005	12	0.1028	19	185.7317	
2007	1016	0.1032	10	96.9299	
2006	1007	0.1045	13	124.4012	
1013	52	0.1067	11	105.3026	
1015	50	0.1068	19	178.4296	
1006	11	0.1073	9	83.9600	
2022	1013	0.1089	19	174.7589	
2033	1025	0.1122	20	178.8563	
1030	49	0.1147	20	174.4229	
2028	1013	0.1185	22	186.8453	
2015	1008	0.1202	23	191.3904	
2027	2001	0.1205	14	116.1601	
2015	1035	0.1214	22	181.3721	
2005	1030	0.1265	28	221.3574	
2007	1006	0.1266	19	152.9700	
1014	1006	0.1275	2	16.0000	
1012	17	0.1278	4	31.4340	
2015	1011	0.1287	26	202.1888	
2007	17	0.1295	14	110.8457	
2028	2013	0.1322	19	143.9851	
1027	1009	0.1329	18	135.5262	
2022	2012	0.1345	7	52.4566	
2009	1030	0.1386	29	210.2794	
2010	54	0.1424	21	147.5328	
1011	1006	0.1432	15	105.4643	
2027	1020	0.1438	14	97.4258	
1020	1008	0.1494	20	133.9173	
1025	1006	0.1517	15	99.1315	
2029	1011	0.1536	23	149.9433	
