Source Node	Dest Node	Inverse Sum of Streamline Lenght	Streamline Count	Average Length	
1014	1010	0.0916	10	110.8734	
2035	18	0.0919	4	44.1867	
54	13	0.0940	5	53.7492	
2025	2006	0.0941	7	89.5261	
1021	1014	0.1017	15	147.5461	
2006	1011	0.1036	16	154.5918	
2007	1006	0.1039	14	134.8559	
2023	2014	0.1055	10	95.1429	
2015	12	0.1062	22	207.2350	
2005	12	0.1072	19	177.2993	
1025	13	0.1078	8	74.4965	
1022	1008	0.1086	7	64.4982	
1014	1008	0.1086	13	119.6894	
2031	2020	0.1106	11	100.1041	
2010	2008	0.1117	8	71.6551	
2023	49	0.1133	8	70.5938	
2022	2011	0.1145	21	183.9543	
1009	49	0.1157	20	172.9833	
1021	49	0.1169	10	85.5873	
2027	52	0.1176	10	85.1419	
2016	2011	0.1184	12	102.7904	
2007	13	0.1227	16	130.4719	
1005	26	0.1254	16	127.6549	
1015	49	0.1277	22	173.3612	
2023	1014	0.1284	15	117.0783	
2007	1022	0.1297	25	192.9108	
2024	1023	0.1298	9	69.3325	
2014	1007	0.1300	25	192.2876	
2011	58	0.1307	18	137.9988	
2022	2015	0.1325	13	98.2299	
2027	1027	0.1343	17	126.5847	
2021	17	0.1386	16	115.5606	
2010	54	0.1394	13	93.2649	
2029	1033	0.1401	30	214.3986	
1016	1011	0.1404	9	65.5265	
2029	1023	0.1408	9	63.9149	
54	12	0.1415	27	190.8576	
2009	1011	0.1455	32	220.0325	
1033	1022	0.1485	24	161.6714	
1010	18	0.1500	7	49.2076	
1015	13	0.1500	17	113.5272	
2028	1022	0.1589	14	121.5419	
2029	50	0.1596	10	65.4985	
2013	52	0.1662	23	141.3092	
2028	1012	0.1695	19	112.5993	
1024	58	0.1704	16	93.9566	
2006	13	0.1727	11	63.9305	
2016	13	0.1730	20	115.8462	
2023	58	0.1757	18	102.6876	
1024	1023	0.1811	9	49.6928	
1018	1010	0.1852	24	129.6124	
2024	1025	0.1862	7	48.5705	
52	18	0.1867	8	47.0890	
2009	1007	0.1875	29	189.8611	
2014	12	0.1899	12	63.2054	
1026	18	0.1915	12	62.6633	
2011	10	0.1938	28	161.5256	
2010	13	0.1973	11	55.7696	
1025	18	0.2018	19	94.2462	
2019	12	0.2031	21	103.4022	
2027	49	0.2049	15	73.7392	
1035	10	0.2063	9	43.6365	
2013	1006	0.2072	18	86.9753	
2026	2010	0.2144	11	56.9531	
53	10	0.2196	19	139.2023	
2013	10	0.2201	17	82.7271	
1011	49	0.2208	31	141.0471	
53	12	0.2218	39	177.9778	
1029	1018	0.2256	17	75.4704	
2024	1029	0.2257	33	146.2874	
2028	2007	0.2259	39	172.8590	
2025	1013	0.2300	42	184.2100	
1024	1012	0.2315	8	34.6379	
2026	17	0.2327	16	70.4832	
2014	52	0.2336	14	71.0122	
1013	26	0.2362	27	114.4122	
2024	1022	0.2381	30	126.0406	
1031	1011	0.2398	5	20.8474	
2025	11	0.2433	23	94.6538	
2013	13	0.2506	25	100.0885	
2031	2018	0.2506	20	80.0522	
2012	54	0.2526	7	27.9259	
2021	2014	0.2632	44	167.1909	
1013	49	0.2644	31	118.0242	
1030	1020	0.2663	6	22.6202	
1030	1009	0.2675	9	99.4436	
2011	1025	0.2852	52	208.6201	
1003	50	0.2879	20	69.6213	
1018	13	0.2963	14	47.2834	
2028	2009	0.3029	45	152.6182	
2010	1030	0.3062	37	122.3433	
1032	13	0.3082	19	61.8799	
2005	17	0.3118	40	128.4728	
2013	17	0.3146	25	79.6960	
2026	13	0.3188	8	25.0933	
2030	53	0.3199	28	88.9217	
1035	1028	0.3201	16	51.0872	
2013	1024	0.3294	53	160.9841	
2016	51	0.3313	17	51.5854	
2021	58	0.3385	46	135.9075	
1008	49	0.3423	45	131.4825	
2016	1016	0.3424	24	71.2412	
1013	1009	0.3426	35	103.8255	
1020	13	0.3444	24	69.6962	
1030	49	0.3474	53	153.2297	
1029	18	0.3480	38	109.5585	
2013	1022	0.3519	59	167.7723	
1033	51	0.3570	82	229.9718	
2017	1008	0.3587	52	145.0027	
2010	1033	0.3625	48	132.5072	
2015	49	0.3671	20	54.7702	
2018	49	0.3746	19	50.7442	
2030	2005	0.3757	48	127.7795	
1026	12	0.3928	10	25.5098	
2007	1025	0.3996	98	245.3926	
1030	10	0.4022	32	90.0766	
2016	1022	0.4047	72	178.0097	
2013	1029	0.4068	62	161.5892	
1011	1006	0.4094	45	110.5691	
1021	26	0.4177	45	107.8118	
2008	53	0.4209	29	69.0563	
51	17	0.4217	78	185.2219	
2015	52	0.4267	21	49.2600	
2035	50	0.4349	14	34.5810	
2007	12	0.4406	94	213.4609	
1025	51	0.4461	69	154.8588	
1007	54	0.4512	102	226.0948	
1030	1014	0.4520	32	72.2859	
2029	11	0.4644	46	100.6050	
2011	1033	0.4751	104	219.0395	
2014	2013	0.4906	73	150.4206	
2009	10	0.4924	96	195.0610	
50	12	0.5032	35	69.5765	
1025	50	0.5090	49	96.3102	
1033	1011	0.5240	66	127.4700	
2016	2005	0.5274	34	64.7732	
2029	12	0.5296	94	178.3621	
1007	52	0.5307	113	225.6365	
1025	1014	0.5621	79	140.5753	
2033	2011	0.5717	78	136.5724	
2025	1030	0.5812	94	163.0775	
2014	1021	0.5894	90	152.7559	
2022	2018	0.5925	40	85.1204	
2008	1025	0.6033	80	132.7267	
1015	1010	0.6424	62	97.2120	
2006	51	0.6530	28	42.8822	
2011	17	0.6544	87	135.2504	
1014	1007	0.6864	120	174.9339	
1026	1010	0.6866	75	109.4351	
2009	12	0.6873	146	212.5318	
1025	1018	0.7093	99	140.3387	
2014	1012	0.7242	68	93.9821	
1002	11	0.7256	23	32.0491	
2011	1010	0.7358	64	87.1792	
1029	1016	0.7382	63	85.9905	
2017	1002	0.7433	28	37.6971	
2026	18	0.7616	39	51.2167	
2011	1007	0.7676	163	213.2317	
1018	51	0.7755	69	88.9910	
1006	49	0.7895	133	168.5107	
2029	1007	0.7974	164	206.3353	
2013	1021	0.8081	81	111.5944	
2022	2007	0.8091	135	166.9378	
2028	2015	0.8163	136	167.4831	
1030	1007	0.8228	80	97.9505	
2016	1024	0.8277	144	174.0483	
1012	17	0.8292	26	31.8886	
2010	1016	0.8514	57	66.9664	
53	17	0.8905	43	55.4843	
2018	1028	0.8929	84	94.5003	
2029	2013	0.9021	134	165.7844	
2034	2029	0.9173	84	92.5978	
52	12	0.9729	118	181.8613	
2007	1016	0.9759	95	99.4729	
1035	1029	0.9810	117	119.7309	
2016	10	0.9856	81	84.0140	
2025	1007	1.0150	169	171.7113	
2007	10	1.0380	190	191.3707	
1035	1021	1.0600	99	93.5638	
2029	1017	1.0828	45	63.4191	
1033	1013	1.2207	156	128.6629	
2012	18	1.2300	59	48.1072	
1012	50	1.2334	86	69.8925	
58	13	1.2851	30	24.0267	
1005	18	1.3029	138	105.9514	
2009	2005	1.3134	167	127.2072	
2013	1011	1.3199	27	21.6967	
1025	1011	1.3447	92	71.6509	
1016	1008	1.3483	100	74.7576	
1009	18	1.3583	30	22.5818	
2003	2001	1.3588	153	112.6385	
2030	52	1.3701	58	42.3730	
2006	52	1.3804	57	43.3888	
2018	1027	1.4128	176	124.8744	
2015	2005	1.4295	170	118.9858	
51	12	1.4326	283	197.9437	
2025	1022	1.4491	161	111.1646	
1024	1001	1.4582	132	90.5924	
2015	54	1.4859	48	32.3973	
2015	2007	1.4936	22	22.4734	
2013	1016	1.5008	75	52.7351	
2029	1010	1.5209	97	63.9262	
54	10	1.5357	269	175.2794	
1003	12	1.5402	72	46.8612	
2035	13	1.5460	60	39.1339	
2035	2029	1.5582	167	108.1063	
2029	1015	1.5898	258	163.4856	
2030	58	1.7131	91	53.1788	
2021	54	1.7282	188	108.8574	
2024	2020	1.7522	91	53.1301	
1027	13	1.7949	119	66.3308	
2010	1014	1.7954	111	64.0396	
1027	51	1.8368	198	108.4999	
1025	11	1.8582	105	56.5718	
2013	2008	1.8676	319	170.8851	
2005	1025	1.8685	267	143.0291	
2006	1007	1.8751	369	196.8727	
2029	1021	1.9123	320	167.3647	
2012	1014	1.9771	56	31.1461	
1013	1006	1.9819	105	55.8097	
2015	2010	2.0058	212	105.7639	
